@relation occ-dance-012013-062018-test-4

@attribute hit numeric
@attribute 'peak position' numeric
@attribute artist_popularity numeric
@attribute speechiness numeric
@attribute acousticness numeric
@attribute instrumentalness numeric
@attribute liveness numeric
@attribute valence numeric
@attribute duration_ms numeric
@attribute tempo numeric
@attribute 'time signature' numeric
@attribute mode numeric
@attribute key numeric
@attribute loudness numeric
@attribute danceability numeric
@attribute energy numeric
@attribute 'Beatdiff mean' numeric
@attribute 'Beatdiff variance' numeric
@attribute 'Beatdiff skewness' numeric
@attribute 'Beatdiff kurtosis' numeric
@attribute 'Beatdiff standard deviation' numeric
@attribute 'Beatdiff 80th percentile' numeric
@attribute 'Beatdiff min' numeric
@attribute 'Beatdiff max' numeric
@attribute 'Beatdiff range' numeric
@attribute 'Beatdiff median' numeric
@attribute 'Timbre 1 mean' numeric
@attribute 'Timbre 1 variance' numeric
@attribute 'Timbre 1 skewness' numeric
@attribute 'Timbre 1 kurtosis' numeric
@attribute 'Timbre 1 standard deviation' numeric
@attribute 'Timbre 1 80th percentile' numeric
@attribute 'Timbre 1 min' numeric
@attribute 'Timbre 1 max' numeric
@attribute 'Timbre 1 range' numeric
@attribute 'Timbre 1 median' numeric
@attribute 'Timbre 2 mean' numeric
@attribute 'Timbre 2 variance' numeric
@attribute 'Timbre 2 skewness' numeric
@attribute 'Timbre 2 kurtosis' numeric
@attribute 'Timbre 2 standard deviation' numeric
@attribute 'Timbre 2 80th percentile' numeric
@attribute 'Timbre 2 min' numeric
@attribute 'Timbre 2 max' numeric
@attribute 'Timbre 2 range' numeric
@attribute 'Timbre 2 median' numeric
@attribute 'Timbre 3 mean' numeric
@attribute 'Timbre 3 variance' numeric
@attribute 'Timbre 3 skewness' numeric
@attribute 'Timbre 3 kurtosis' numeric
@attribute 'Timbre 3 standard deviation' numeric
@attribute 'Timbre 3 80th percentile' numeric
@attribute 'Timbre 3 min' numeric
@attribute 'Timbre 3 max' numeric
@attribute 'Timbre 3 range' numeric
@attribute 'Timbre 3 median' numeric
@attribute 'Timbre 4 mean' numeric
@attribute 'Timbre 4 variance' numeric
@attribute 'Timbre 4 skewness' numeric
@attribute 'Timbre 4 kurtosis' numeric
@attribute 'Timbre 4 standard deviation' numeric
@attribute 'Timbre 4 80th percentile' numeric
@attribute 'Timbre 4 min' numeric
@attribute 'Timbre 4 max' numeric
@attribute 'Timbre 4 range' numeric
@attribute 'Timbre 4 median' numeric
@attribute 'Timbre 5 mean' numeric
@attribute 'Timbre 5 variance' numeric
@attribute 'Timbre 5 skewness' numeric
@attribute 'Timbre 5 kurtosis' numeric
@attribute 'Timbre 5 standard deviation' numeric
@attribute 'Timbre 5 80th percentile' numeric
@attribute 'Timbre 5 min' numeric
@attribute 'Timbre 5 max' numeric
@attribute 'Timbre 5 range' numeric
@attribute 'Timbre 5 median' numeric
@attribute 'Timbre 6 mean' numeric
@attribute 'Timbre 6 variance' numeric
@attribute 'Timbre 6 skewness' numeric
@attribute 'Timbre 6 kurtosis' numeric
@attribute 'Timbre 6 standard deviation' numeric
@attribute 'Timbre 6 80th percentile' numeric
@attribute 'Timbre 6 min' numeric
@attribute 'Timbre 6 max' numeric
@attribute 'Timbre 6 range' numeric
@attribute 'Timbre 6 median' numeric
@attribute 'Timbre 7 mean' numeric
@attribute 'Timbre 7 variance' numeric
@attribute 'Timbre 7 skewness' numeric
@attribute 'Timbre 7 kurtosis' numeric
@attribute 'Timbre 7 standard deviation' numeric
@attribute 'Timbre 7 80th percentile' numeric
@attribute 'Timbre 7 min' numeric
@attribute 'Timbre 7 max' numeric
@attribute 'Timbre 7 range' numeric
@attribute 'Timbre 7 median' numeric
@attribute 'Timbre 8 mean' numeric
@attribute 'Timbre 8 variance' numeric
@attribute 'Timbre 8 skewness' numeric
@attribute 'Timbre 8 kurtosis' numeric
@attribute 'Timbre 8 standard deviation' numeric
@attribute 'Timbre 8 80th percentile' numeric
@attribute 'Timbre 8 min' numeric
@attribute 'Timbre 8 max' numeric
@attribute 'Timbre 8 range' numeric
@attribute 'Timbre 8 median' numeric
@attribute 'Timbre 9 mean' numeric
@attribute 'Timbre 9 variance' numeric
@attribute 'Timbre 9 skewness' numeric
@attribute 'Timbre 9 kurtosis' numeric
@attribute 'Timbre 9 standard deviation' numeric
@attribute 'Timbre 9 80th percentile' numeric
@attribute 'Timbre 9 min' numeric
@attribute 'Timbre 9 max' numeric
@attribute 'Timbre 9 range' numeric
@attribute 'Timbre 9 median' numeric
@attribute 'Timbre 10 mean' numeric
@attribute 'Timbre 10 variance' numeric
@attribute 'Timbre 10 skewness' numeric
@attribute 'Timbre 10 kurtosis' numeric
@attribute 'Timbre 10 standard deviation' numeric
@attribute 'Timbre 10 80th percentile' numeric
@attribute 'Timbre 10 min' numeric
@attribute 'Timbre 10 max' numeric
@attribute 'Timbre 10 range' numeric
@attribute 'Timbre 10 median' numeric
@attribute 'Timbre 11 mean' numeric
@attribute 'Timbre 11 variance' numeric
@attribute 'Timbre 11 skewness' numeric
@attribute 'Timbre 11 kurtosis' numeric
@attribute 'Timbre 11 standard deviation' numeric
@attribute 'Timbre 11 80th percentile' numeric
@attribute 'Timbre 11 min' numeric
@attribute 'Timbre 11 max' numeric
@attribute 'Timbre 11 range' numeric
@attribute 'Timbre 11 median' numeric
@attribute 'Timbre 12 mean' numeric
@attribute 'Timbre 12 variance' numeric
@attribute 'Timbre 12 skewness' numeric
@attribute 'Timbre 12 kurtosis' numeric
@attribute 'Timbre 12 standard deviation' numeric
@attribute 'Timbre 12 80th percentile' numeric
@attribute 'Timbre 12 min' numeric
@attribute 'Timbre 12 max' numeric
@attribute 'Timbre 12 range' numeric
@attribute 'Timbre 12 median' numeric

@data
?,1,66,0.0689,0.00149,0.127,0.0696,0.667,196489,122.029,4,0,0,-7.202,0.703,0.832,0.492333,0.000021,3.445159,20.783842,0.00455,0.4931,0.47783,0.52403,0.0462,0.49183,49.167614,26.982857,-3.193342,18.686568,5.194503,52.621,1.027,54.685,53.658,50.8855,96.000236,2459.505991,-0.532423,0.292145,49.593407,135.645,-75.638,272.885,348.523,105.9135,6.641429,1890.367676,0.480416,0.035359,43.478359,41.512,-98.358,151.908,250.266,2.364,-5.797386,1305.790413,0.755472,2.22016,36.135722,18.947,-125.341,142.067,267.408,-9.792,20.623724,904.929184,0.117034,-0.442025,30.082041,45.369,-48.357,115.001,163.358,23.5525,-31.138679,930.907953,0.728619,9.695784,30.510784,-8.821,-136.893,255.131,392.024,-29.616,-10.989125,810.041094,-1.186209,1.632342,28.461221,11.358,-117.425,52.288,169.713,-5.493,7.035839,400.757385,-0.314785,0.612126,20.018926,23.665,-64.089,67.359,131.448,6.9185,1.998438,183.528727,-0.061887,-0.515697,13.547277,13.998,-38.374,39.307,77.681,2.347,-1.506965,243.890378,0.221225,2.833828,15.61699,10.413,-57.488,107.034,164.522,-0.7645,-6.954385,258.314652,0.004714,0.118211,16.07217,6.336,-51.08,54.352,105.432,-5.5795,6.619529,231.180232,-0.050657,0.854179,15.204612,18.121,-49.568,60.697,110.265,7.207
?,1,73,0.0408,0.0259,0.00025,0.14,0.703,207630,125.984,4,0,11,-5.559,0.741,0.728,0.47649,0.000009,5.487765,54.471595,0.003072,0.47782,0.46872,0.50851,0.03979,0.4762,50.239598,23.962651,-1.553416,2.396748,4.895166,53.917,26.837,57.533,30.696,51.544,59.867701,2685.986238,-0.960625,1.631716,51.826501,99.791,-130.094,266.267,396.361,66.553,4.383082,2799.335686,0.27164,-0.107598,52.908749,48.086,-121.266,166.327,287.593,0.337,1.098921,1931.298873,0.065769,6.435453,43.946546,33.676,-216.141,364.548,580.689,4.1,25.787862,1042.291496,-0.132972,-0.571681,32.28454,55.148,-63.516,108.499,172.015,27.36,-31.694674,1284.245695,0.220367,1.926071,35.836374,-7.837,-129.958,161.372,291.33,-30.244,-1.978865,637.985467,0.037029,-0.349015,25.258374,18.861,-64.918,69.612,134.53,-1.761,5.045241,541.3398,0.160783,1.323618,23.26671,22.687,-69.618,112.344,181.962,4.991,0.299452,298.323126,0.15286,-0.041718,17.272033,14.814,-44.959,63.923,108.882,-0.478,3.023629,333.115871,0.557849,1.266474,18.251462,17.121,-60.243,93.817,154.06,2.119,-10.096411,436.037035,0.041143,2.609423,20.8815,3.379,-87.67,100.304,187.974,-8.166,4.374611,220.335818,0.141769,0.239777,14.843713,16.403,-49.668,57.564,107.232,4.214
?,6,86,0.0387,0.063,0.000028,0.0758,0.41,184172,116.003,4,0,1,-3.288,0.754,0.779,0.517095,0.000025,1.292777,12.490966,0.00502,0.51878,0.4942,0.54882,0.05462,0.51713,50.852278,35.945248,-3.974865,25.476954,5.995436,54.924,1.722,58.104,56.382,52.176,51.769634,3216.230076,-0.589402,1.758927,56.711816,96.061,-179.153,213.623,392.776,53.815,-2.012647,3074.89369,-0.130765,0.142805,55.451724,46.015,-201.285,167.533,368.818,-2.243,17.556305,3441.914112,0.651597,1.069806,58.667829,59.593,-185.133,249.322,434.455,10.76,35.890253,1003.324235,0.327841,-0.02977,31.675294,62.335,-62.075,133.896,195.971,32.624,-32.777941,1548.083018,1.096734,8.104407,39.345686,-5.495,-134.929,326.024,460.953,-32.222,5.516142,923.803855,0.147781,-0.102626,30.394142,32.769,-75.696,106.633,182.329,3.536,-2.341932,828.06818,0.147017,1.088979,28.776174,19.81,-101.794,121.795,223.589,-2.493,-8.189151,278.850522,-0.057069,0.278686,16.698818,4.639,-62.472,43.373,105.845,-8.164,5.087308,536.129276,-0.128814,0.648968,23.154466,23.561,-88.68,75.005,163.685,5.098,-12.068615,364.459231,-0.54441,1.280118,19.090815,2.361,-109.336,45.317,154.653,-10.53,3.274657,178.030311,-0.048604,-0.135611,13.3428,15.383,-39.708,49.015,88.723,3.216
?,27,52,0.0675,0.0452,0,0.12,0.825,155145,132.088,4,0,11,-5.953,0.81,0.86,0.454456,0.000016,-0.069407,8.222094,0.003983,0.45626,0.43673,0.4731,0.03637,0.45444,49.758033,16.112511,-3.901966,32.067193,4.014039,52.486,2.823,56.653,53.83,50.616,65.280042,2017.442115,-0.633215,2.512928,44.915945,101.351,-155.416,248.22,403.636,66.476,-17.344258,2413.511209,0.015698,0.599009,49.1275,20.81,-217.351,163.353,380.704,-16.791,10.492726,2441.898021,0.679459,3.378758,49.415565,45.991,-136.599,346.875,483.474,6.747,27.59829,932.959374,0.402402,0.202537,30.544384,53.076,-55.829,142.362,198.191,26.676,-24.340818,1243.955184,0.500934,1.625024,35.269749,1.818,-139.858,115.431,255.289,-27.324,-18.539811,694.969766,-0.106063,-0.281766,26.362279,2.994,-94.429,52.889,147.318,-15.892,-2.473071,751.145378,0.231188,0.748327,27.407032,18.064,-86.323,111.174,197.497,-0.641,-9.378496,327.370628,-0.279434,0.055364,18.093386,5,-71.733,41.137,112.87,-7.5,3.922166,379.455705,0.131773,0.840455,19.479623,19.179,-86.156,72.013,158.169,2.53,-17.651667,440.315761,-0.367212,0.896047,20.983702,-0.348,-109.216,55.102,164.318,-16.351,-4.877137,182.112199,-0.234319,-0.030532,13.494895,6.314,-44.992,29.902,74.894,-4.35
?,5,52,0.22,0.162,0.000251,0.227,0.681,164885,122.948,4,1,7,-6.045,0.837,0.769,0.493714,0.000188,2.187766,4.187338,0.013721,0.49438,0.47645,0.55579,0.07934,0.48837,47.513431,16.085516,-1.717846,6.554118,4.010675,50.675,21.965,54.511,32.546,48.108,4.788813,4726.387736,-0.338894,0.332832,68.748729,60.446,-258.667,208.553,467.22,12.398,-52.970089,2210.866694,0.972206,2.752394,47.019854,-22.391,-174.403,161.46,335.863,-56.195,5.347285,3962.592791,-0.02257,2.687287,62.949129,51.88,-317.854,304.196,622.05,5.601,15.458587,701.386438,0.541691,0.575376,26.483701,37.324,-52.188,119.465,171.653,13.19,-14.436833,2832.772104,-0.083109,0.403987,53.223793,32.098,-238.642,200.186,438.828,-10.149,-16.498669,645.077701,0.040181,0.361086,25.39838,3.853,-117.708,63.266,180.974,-17.541,-4.017127,1456.855265,-0.002758,0.285567,38.168773,27.599,-132.089,152.942,285.031,-3.321,4.966376,368.956161,-0.236992,0.447137,19.208232,20.254,-56.756,68.558,125.314,5.575,6.598892,811.301018,0.030968,1.36207,28.483346,28.609,-111.625,126.124,237.749,5.093,-23.919358,968.908539,-0.300966,0.387049,31.127296,1.158,-150.812,80.591,231.403,-21.557,-1.409873,168.49454,0.082215,-0.467825,12.980545,9.693,-35.447,38.346,73.793,-1.278
?,32,61,0.0822,0.0762,0.000006,0.115,0.671,169219,103.926,4,0,5,-4.91,0.747,0.844,0.5779,0.000032,2.301467,9.323301,0.005636,0.57936,0.55833,0.61079,0.05246,0.57701,50.620842,26.797376,-2.700791,14.655575,5.176618,54.324,0,57.344,57.344,51.635,39.388933,3590.478014,-1.425759,3.882724,59.920598,84.016,-223.115,179.119,402.234,48.356,8.884042,2210.904198,-0.053126,1.360212,47.020253,45.458,-166.751,192.58,359.331,7.074,5.589216,1971.035883,0.435109,4.181471,44.39635,38.122,-162.236,336.527,498.763,4.93,24.685992,1147.649295,0.156637,-0.2635,33.876973,52.684,-52.98,130.921,183.901,23.75,-21.741024,1113.624372,-0.134109,0.676204,33.371011,4.966,-129.901,104.512,234.413,-21.58,1.689128,779.711363,-0.487126,0.040156,27.923312,26.635,-102.758,62.829,165.587,4.588,-0.492352,470.019922,0.299692,0.842243,21.679943,16.021,-73.386,96.48,169.866,-1.678,-3.884078,398.803485,-0.236875,-0.353371,19.970065,13.24,-63.651,37.246,100.897,-2.051,2.435118,379.944475,-0.022761,0.200417,19.492164,18.081,-67.009,66.266,133.275,2.466,-13.034379,391.434415,-0.363726,0.379305,19.784702,2.446,-79.985,55.333,135.318,-11.305,-0.159596,234.321364,0.223081,-0.498008,15.307559,14.095,-35.71,43.005,78.715,-0.66
?,29,68,0.184,0.00846,0,0.123,0.534,210267,106.456,4,0,8,-5.678,0.679,0.889,0.564211,0.000078,0.224374,4.17323,0.008813,0.56679,0.53132,0.6036,0.07228,0.563565,50.183007,17.085145,-1.744017,7.446921,4.133418,53.551,19.242,57.411,38.169,50.855,25.057316,2824.971129,0.606551,4.103821,53.150457,63.708,-141.849,392.972,534.821,26.445,-2.602191,1887.895683,0.088172,0.205206,43.449922,31.262,-131.004,143.15,274.154,-1.365,-4.632389,1566.269097,0.982467,11.883368,39.576118,24.244,-246.778,371.861,618.639,-5.287,14.46463,736.848077,0.24867,0.446074,27.144946,34.965,-69.798,105.832,175.63,13.179,-25.109645,1056.919844,0.224902,1.651239,32.510304,-1.136,-136.987,134.99,271.977,-27.285,8.751351,596.793598,-0.256786,0.002476,24.429359,28.945,-73.472,87.225,160.697,10.372,1.400891,726.817282,0.028527,3.052473,26.959549,18.242,-123.053,141.957,265.01,2.058,-11.624842,306.87637,0.164648,0.051985,17.517887,2.742,-66.172,57.892,124.064,-12.391,2.478604,394.597392,0.407363,2.568151,19.864476,16.966,-71.747,118.347,190.094,1.816,-13.129687,395.776935,-0.715918,2.478172,19.894143,0.896,-119.863,63.18,183.043,-10.881,-8.911109,207.92812,0.293597,0.420364,14.419713,2.74,-50.281,46.891,97.172,-9.025
?,28,19,0.258,0.0136,0.000025,0.0665,0.868,158769,130.059,4,0,6,-4.037,0.935,0.679,0.461921,0.000017,0.827468,17.863756,0.004177,0.46322,0.43127,0.48328,0.05201,0.4614,48.285399,50.353517,-3.315707,14.818351,7.096021,52.631,0.002,57.004,57.002,50,61.626211,4130.050206,-0.215917,2.032305,64.265467,111.274,-243.02,316.837,559.857,63.188,-39.395081,3583.490628,-0.055503,-0.216309,59.862264,11.378,-201.77,122.012,323.782,-40.2475,12.354455,6063.033643,1.211794,5.210001,77.865484,57.963,-228.449,454.755,683.204,7.7565,15.182798,1247.993381,0.535243,0.158691,35.32695,42.313,-73.239,151.973,225.212,10.468,-9.483931,2262.713517,1.100316,4.642583,47.567988,21.632,-136.648,314.627,451.275,-13.1605,-6.291895,751.768777,-0.20072,0.052245,27.418402,15.97,-93.501,63.021,156.522,-4.97,0.371321,1396.373105,-0.031932,0.289165,37.368076,29.505,-140.073,124.179,264.252,1.861,-3.08114,321.788149,0.090873,-0.04398,17.938454,11.519,-58.029,49.253,107.282,-3.603,4.882567,573.02968,-0.275878,1.09363,23.938038,23.338,-96.485,82.457,178.942,5.076,-25.035146,833.3342,-0.580385,1.240162,28.867528,-0.772,-163.002,58.052,221.054,-23.486,1.685465,210.88462,0.095653,0.158195,14.521867,12.639,-48.075,51.429,99.504,2.0095
?,28,81,0.0403,0.0588,0,0.0662,0.567,174841,105.955,4,0,10,-4.727,0.72,0.659,0.566632,0.000023,5.469718,45.066937,0.00481,0.56772,0.55622,0.60969,0.05347,0.566185,50.502367,27.10728,-1.483703,3.600978,5.206465,54.684,17.358,58.713,41.355,51.559,50.259669,3792.017461,-1.037875,3.885477,61.579359,95.584,-259.375,267.735,527.11,55.3,-18.733359,2104.542673,0.00441,0.729065,45.875295,14.958,-185.714,149.78,335.494,-17.81,-8.628371,2441.708795,1.748054,10.19886,49.41365,22.231,-160.602,358.278,518.88,-14.164,29.19175,739.483348,0.16802,0.079045,27.193443,51.1,-51.335,110.089,161.424,28.014,-29.034007,1263.177221,0.078859,0.720223,35.541205,-2.688,-141.061,126.843,267.904,-27.725,-9.355101,926.34156,-0.275398,0.126731,30.43586,15.225,-124.321,68.692,193.013,-7.552,-3.201323,578.188368,-0.237088,3.57922,24.045548,13.573,-160.937,108.349,269.286,-3.072,-4.632938,346.944364,-0.446559,0.389808,18.626443,11.783,-71.626,43.417,115.043,-2.925,2.461433,453.685686,-0.550725,1.538811,21.299899,18.767,-97.432,70.867,168.299,4.659,-13.463086,398.977608,-0.108126,0.78661,19.974424,0.843,-82.963,57.204,140.167,-12.778,1.605984,244.985383,0.253802,0.183012,15.652009,14.302,-43.65,52.203,95.853,0.175
?,14,72,0.0392,0.00894,0.00267,0.063,0.791,172447,124.013,4,1,2,-3.561,0.747,0.867,0.483835,0.000002,2.213349,23.39044,0.001557,0.48477,0.47838,0.49862,0.02024,0.48383,51.152199,19.441622,-1.483656,3.39079,4.409265,54.641,26.74,58.084,31.344,52.4475,54.858096,2503.219863,-0.500819,1.080747,50.032188,89.561,-171.526,211.127,382.653,60.4685,9.749933,2012.30859,0.29389,1.27153,44.858763,42.2865,-133.919,237.048,370.967,8.9565,14.560702,1754.610092,1.238108,15.257821,41.888066,43.011,-189.851,450.538,640.389,14.433,26.355082,761.706691,0.344578,0.17027,27.599034,50.218,-48.695,133.077,181.772,24.8725,-30.673484,1250.191696,0.505071,1.572065,35.35805,-3.0445,-127.256,186.512,313.768,-30.937,-0.722546,605.937928,-0.511888,0.835383,24.615806,18.8495,-114.273,67.179,181.452,1.998,8.300875,458.446483,0.324014,0.494947,21.411363,25.66,-62.156,81.565,143.721,6.6965,-5.461023,229.10361,0.121305,1.158059,15.136169,5.668,-55.425,61.751,117.176,-5.641,5.329043,368.679074,0.209673,2.641606,19.201018,19.7525,-75.029,128.513,203.542,6.221,-8.418377,398.018853,-0.055695,0.544755,19.95041,8.487,-72.91,88.194,161.104,-7.9305,-9.086754,195.096199,-0.194418,0.09324,13.967684,2.4845,-52.94,35.21,88.15,-8.5605
