@RELATION api/public/arff/genre_classification.arff 

@ATTRIBUTE speechiness numeric 
@ATTRIBUTE acousticness numeric 
@ATTRIBUTE instrumentalness numeric 
@ATTRIBUTE liveness numeric 
@ATTRIBUTE valence numeric 
@ATTRIBUTE duration_ms numeric 
@ATTRIBUTE tempo numeric 
@ATTRIBUTE time_signature {0,1,2,3,4,5} 
@ATTRIBUTE mode {0,1} 
@ATTRIBUTE key {0,1,2,3,4,5,6,7,8,9,10,11} 
@ATTRIBUTE loudness numeric 
@ATTRIBUTE danceability numeric 
@ATTRIBUTE energy numeric 
@ATTRIBUTE genre {1,2,3} 

@DATA 
0.0477, 0.409, 0.00000632, 0.3, 0.561, 291880, 78.311, 4, 0, 5, -5.867, 0.618, 0.688, 3 
0.0749, 0.15, 0, 0.295, 0.921, 213360, 108.987, 4, 1, 1, -7.346, 0.859, 0.633, 3 
0.0507, 0.0797, 0.0000578, 0.284, 0.202, 252533, 115.976, 4, 1, 2, -8.648, 0.752, 0.79, 3 
0.0494, 0.54, 0, 0.771, 0.408, 449800, 130.642, 4, 1, 9, -10.34, 0.561, 0.354, 3 
0.0495, 0.0261, 0.00102, 0.309, 0.925, 244147, 119.865, 4, 0, 11, -7.719, 0.633, 0.921, 3 
0.152, 0.0134, 0.0000404, 0.28, 0.368, 273093, 88.988, 4, 1, 0, -13.909, 0.845, 0.326, 3 
0.0313, 0.314, 0.000084, 0.0912, 0.696, 250200, 97.746, 4, 0, 9, -9.583, 0.72, 0.522, 3 
0.0346, 0.0646, 0, 0.12, 0.494, 209160, 150.041, 4, 0, 5, -11.688, 0.551, 0.458, 3 
0.0371, 0.27, 0, 0.0797, 0.396, 222733, 91.964, 4, 1, 0, -10.795, 0.69, 0.648, 3 
0.0506, 0.111, 0.00811, 0.0478, 0.74, 224800, 93.49, 4, 1, 0, -9.808, 0.838, 0.401, 3 
0.0344, 0.285, 0, 0.0668, 0.671, 335480, 95.817, 3, 1, 0, -7.643, 0.714, 0.497, 3 
0.0405, 0.0474, 0.0142, 0.194, 0.614, 219614, 84.029, 4, 1, 7, -8.43, 0.743, 0.491, 3 
0.139, 0.0279, 0.00000102, 0.571, 0.506, 298773, 92.409, 4, 0, 4, -17.117, 0.765, 0.29, 3 
0.18, 0.0777, 0.00000381, 0.696, 0.508, 314680, 74.038, 4, 0, 5, -8.235, 0.729, 0.581, 3 
