@RELATION api/public/arff/rock_01012010_01122018.arff 

@ATTRIBUTE duration_ms numeric 
@ATTRIBUTE tempo numeric 
@ATTRIBUTE time_signature {0,1,2,3,4,5} 
@ATTRIBUTE mode {0,1} 
@ATTRIBUTE key {0,1,2,3,4,5,6,7,8,9,10,11} 
@ATTRIBUTE loudness numeric 
@ATTRIBUTE danceability numeric 
@ATTRIBUTE energy numeric 
@ATTRIBUTE beatdiff_mean numeric 
@ATTRIBUTE beatdiff_variance numeric 
@ATTRIBUTE beatdiff_skewness numeric 
@ATTRIBUTE beatdiff_kurtosis numeric 
@ATTRIBUTE beatdiff_standard_deviation numeric 
@ATTRIBUTE beatdiff_80th_percentile numeric 
@ATTRIBUTE beatdiff_min numeric 
@ATTRIBUTE beatdiff_max numeric 
@ATTRIBUTE beatdiff_range numeric 
@ATTRIBUTE beatdiff_median numeric 
@ATTRIBUTE timbre_1_mean numeric 
@ATTRIBUTE timbre_1_variance numeric 
@ATTRIBUTE timbre_1_skewness numeric 
@ATTRIBUTE timbre_1_kurtosis numeric 
@ATTRIBUTE timbre_1_standard_deviation numeric 
@ATTRIBUTE timbre_1_80th_percentile numeric 
@ATTRIBUTE timbre_1_min numeric 
@ATTRIBUTE timbre_1_max numeric 
@ATTRIBUTE timbre_1_range numeric 
@ATTRIBUTE timbre_1_median numeric 
@ATTRIBUTE timbre_2_mean numeric 
@ATTRIBUTE timbre_2_variance numeric 
@ATTRIBUTE timbre_2_skewness numeric 
@ATTRIBUTE timbre_2_kurtosis numeric 
@ATTRIBUTE timbre_2_standard_deviation numeric 
@ATTRIBUTE timbre_2_80th_percentile numeric 
@ATTRIBUTE timbre_2_min numeric 
@ATTRIBUTE timbre_2_max numeric 
@ATTRIBUTE timbre_2_range numeric 
@ATTRIBUTE timbre_2_median numeric 
@ATTRIBUTE timbre_3_mean numeric 
@ATTRIBUTE timbre_3_variance numeric 
@ATTRIBUTE timbre_3_skewness numeric 
@ATTRIBUTE timbre_3_kurtosis numeric 
@ATTRIBUTE timbre_3_standard_deviation numeric 
@ATTRIBUTE timbre_3_80th_percentile numeric 
@ATTRIBUTE timbre_3_min numeric 
@ATTRIBUTE timbre_3_max numeric 
@ATTRIBUTE timbre_3_range numeric 
@ATTRIBUTE timbre_3_median numeric 
@ATTRIBUTE timbre_4_mean numeric 
@ATTRIBUTE timbre_4_variance numeric 
@ATTRIBUTE timbre_4_skewness numeric 
@ATTRIBUTE timbre_4_kurtosis numeric 
@ATTRIBUTE timbre_4_standard_deviation numeric 
@ATTRIBUTE timbre_4_80th_percentile numeric 
@ATTRIBUTE timbre_4_min numeric 
@ATTRIBUTE timbre_4_max numeric 
@ATTRIBUTE timbre_4_range numeric 
@ATTRIBUTE timbre_4_median numeric 
@ATTRIBUTE timbre_5_mean numeric 
@ATTRIBUTE timbre_5_variance numeric 
@ATTRIBUTE timbre_5_skewness numeric 
@ATTRIBUTE timbre_5_kurtosis numeric 
@ATTRIBUTE timbre_5_standard_deviation numeric 
@ATTRIBUTE timbre_5_80th_percentile numeric 
@ATTRIBUTE timbre_5_min numeric 
@ATTRIBUTE timbre_5_max numeric 
@ATTRIBUTE timbre_5_range numeric 
@ATTRIBUTE timbre_5_median numeric 
@ATTRIBUTE timbre_6_mean numeric 
@ATTRIBUTE timbre_6_variance numeric 
@ATTRIBUTE timbre_6_skewness numeric 
@ATTRIBUTE timbre_6_kurtosis numeric 
@ATTRIBUTE timbre_6_standard_deviation numeric 
@ATTRIBUTE timbre_6_80th_percentile numeric 
@ATTRIBUTE timbre_6_min numeric 
@ATTRIBUTE timbre_6_max numeric 
@ATTRIBUTE timbre_6_range numeric 
@ATTRIBUTE timbre_6_median numeric 
@ATTRIBUTE timbre_7_mean numeric 
@ATTRIBUTE timbre_7_variance numeric 
@ATTRIBUTE timbre_7_skewness numeric 
@ATTRIBUTE timbre_7_kurtosis numeric 
@ATTRIBUTE timbre_7_standard_deviation numeric 
@ATTRIBUTE timbre_7_80th_percentile numeric 
@ATTRIBUTE timbre_7_min numeric 
@ATTRIBUTE timbre_7_max numeric 
@ATTRIBUTE timbre_7_range numeric 
@ATTRIBUTE timbre_7_median numeric 
@ATTRIBUTE timbre_8_mean numeric 
@ATTRIBUTE timbre_8_variance numeric 
@ATTRIBUTE timbre_8_skewness numeric 
@ATTRIBUTE timbre_8_kurtosis numeric 
@ATTRIBUTE timbre_8_standard_deviation numeric 
@ATTRIBUTE timbre_8_80th_percentile numeric 
@ATTRIBUTE timbre_8_min numeric 
@ATTRIBUTE timbre_8_max numeric 
@ATTRIBUTE timbre_8_range numeric 
@ATTRIBUTE timbre_8_median numeric 
@ATTRIBUTE timbre_9_mean numeric 
@ATTRIBUTE timbre_9_variance numeric 
@ATTRIBUTE timbre_9_skewness numeric 
@ATTRIBUTE timbre_9_kurtosis numeric 
@ATTRIBUTE timbre_9_standard_deviation numeric 
@ATTRIBUTE timbre_9_80th_percentile numeric 
@ATTRIBUTE timbre_9_min numeric 
@ATTRIBUTE timbre_9_max numeric 
@ATTRIBUTE timbre_9_range numeric 
@ATTRIBUTE timbre_9_median numeric 
@ATTRIBUTE timbre_10_mean numeric 
@ATTRIBUTE timbre_10_variance numeric 
@ATTRIBUTE timbre_10_skewness numeric 
@ATTRIBUTE timbre_10_kurtosis numeric 
@ATTRIBUTE timbre_10_standard_deviation numeric 
@ATTRIBUTE timbre_10_80th_percentile numeric 
@ATTRIBUTE timbre_10_min numeric 
@ATTRIBUTE timbre_10_max numeric 
@ATTRIBUTE timbre_10_range numeric 
@ATTRIBUTE timbre_10_median numeric 
@ATTRIBUTE timbre_11_mean numeric 
@ATTRIBUTE timbre_11_variance numeric 
@ATTRIBUTE timbre_11_skewness numeric 
@ATTRIBUTE timbre_11_kurtosis numeric 
@ATTRIBUTE timbre_11_standard_deviation numeric 
@ATTRIBUTE timbre_11_80th_percentile numeric 
@ATTRIBUTE timbre_11_min numeric 
@ATTRIBUTE timbre_11_max numeric 
@ATTRIBUTE timbre_11_range numeric 
@ATTRIBUTE timbre_11_median numeric 
@ATTRIBUTE timbre_12_mean numeric 
@ATTRIBUTE timbre_12_variance numeric 
@ATTRIBUTE timbre_12_skewness numeric 
@ATTRIBUTE timbre_12_kurtosis numeric 
@ATTRIBUTE timbre_12_standard_deviation numeric 
@ATTRIBUTE timbre_12_80th_percentile numeric 
@ATTRIBUTE timbre_12_min numeric 
@ATTRIBUTE timbre_12_max numeric 
@ATTRIBUTE timbre_12_range numeric 
@ATTRIBUTE timbre_12_median numeric 
@ATTRIBUTE hit {hit,non-hit} 

@DATA 
235000, 115.997, 4, 1, 8, -6.76, 0.683, 0.585, 0.517303, 0.000002, 1.283913, 9.933764, 0.001452, 0.51824, 0.51238, 0.52895, 0.01657, 0.51727, 47.106612, 40.564334, -1.317323, 3.91369, 6.369014, 52.73, 0, 56.236, 56.236, 48.6445, 14.865125, 3602.82698, -0.231717, 0.162053, 60.023554, 60.363, -141.733, 263.219, 404.952, 20.1685, -14.164041, 1923.153578, -0.755341, 0.507276, 43.853775, 20.63, -162.586, 107.061, 269.647, -6.175, 7.927167, 2665.792296, 1.192243, 2.415512, 51.631311, 35.96, -140.102, 225.103, 365.205, -1.261, 9.267472, 812.441477, 0.042332, 0.172499, 28.503359, 33.113, -83.193, 121.913, 205.106, 10.3055, -34.070032, 1329.04151, 0.366637, 1.308571, 36.456022, -10.532, -131.727, 110.445, 242.172, -34.3695, -4.84894, 524.469556, -0.349431, 0.385483, 22.9013, 16.284, -102.648, 52.964, 155.612, -4.6425, -5.963692, 516.512024, -0.608394, 2.846746, 22.726901, 10.783, -123.222, 120.968, 244.19, -4.282, -4.223966, 185.187234, 0.240032, 1.468753, 13.608352, 6.169, -61.019, 60.954, 121.973, -4.316, 3.499816, 251.029943, 0.251006, 2.113908, 15.843925, 15.352, -49.779, 105.01, 154.789, 3.4625, -12.167663, 354.392694, -0.352738, 1.71406, 18.825321, 1.815, -92.581, 79.801, 172.382, -10.313, 0.346485, 173.449316, 0.241473, 0.528886, 13.170016, 10.513, -37.775, 49.558, 87.333, -0.168, hit 
268613, 117.971, 4, 0, 5, -3.365, 0.493, 0.808, 0.50873, 0.000019, 0.770633, 7.159718, 0.004371, 0.51086, 0.49083, 0.53369, 0.04286, 0.50868, 53.472949, 37.087423, -4.040234, 24.636191, 6.089944, 57.533, 0, 59.166, 59.166, 55.115, 63.238443, 1798.468244, -1.56896, 4.986246, 42.408351, 92.245, -177.137, 171.182, 348.319, 71.383, 28.477067, 1149.855594, -0.37312, 1.361234, 33.909521, 53.74, -120.408, 133.368, 253.776, 30.774, -10.010723, 621.503908, 1.697027, 11.433627, 24.92998, 4.985, -115.577, 186.595, 302.172, -11.426, -1.280726, 440.665053, 0.360382, 0.087875, 20.992024, 15.515, -53.214, 70.485, 123.699, -2.697, -29.315763, 293.846954, 0.516213, 2.714397, 17.141965, -16.67, -77.339, 63.463, 140.802, -29.445, 3.207743, 606.135474, 0.05556, 0.114833, 24.619819, 24.819, -83.52, 81.364, 164.884, 1.07, 3.830031, 272.293064, -0.432794, 1.656327, 16.501305, 15.995, -80.781, 59.475, 140.256, 4.636, -5.177908, 201.897702, -0.32891, 1.25137, 14.209071, 5.719, -67.003, 45.02, 112.023, -4.577, 3.835291, 168.097445, 0.041198, 1.705869, 12.96524, 13.537, -51.017, 61.109, 112.126, 3.733, -8.315006, 175.716202, -1.81646, 11.778674, 13.255799, 0.421, -105.894, 44.504, 150.398, -7.238, -4.504134, 199.681203, 0.01812, -0.075514, 14.13086, 8.05, -52.234, 41.408, 93.642, -4.962, hit 
356400, 125.148, 4, 1, 6, -7.711, 0.449, 0.901, 0.4781224114441417, 0.00004846534363997801, -0.26919546075809075, -0.36507428704324185, 0.006961705512299268, 0.48425, 0.45772, 0.50013, 0.04240999999999995, 0.479085, 49.65612489233419, 13.487573800939359, -4.102285505410187, 39.15179901895021, 3.672543233365587, 51.826, 0, 56.32, 56.32, 50.096, 70.55392592592592, 1285.7001284113946, -0.35740219237153725, 0.8937156245175364, 35.856660865331484, 97.585, -71.039, 176.02, 247.05900000000003, 71.136, 27.745549526270455, 901.278497689407, 0.18586321785418894, 1.3311558336467209, 30.02130073280315, 48.592, -110.452, 136.191, 246.643, 26.491, -7.401923341946597, 641.8020081310742, -0.33096089508345805, 6.981067271939651, 25.33381155947668, 9.169, -179.807, 150.769, 330.576, -6.957, 11.604641688199827, 456.930775589097, 0.8933493510451251, 2.1374090159987604, 21.37593917443388, 24.255, -74.47, 98.679, 173.149, 9.583, -25.09114900947459, 327.15376789080267, 0.7480265805282391, 2.2932919369332727, 18.087392512211444, -12.628, -81.326, 93.963, 175.289, -26.636, -8.029841515934539, 529.8417089705763, -0.22456910120390006, 0.541258490993829, 23.018290748241416, 10.346, -100.413, 66.166, 166.579, -7.483, 3.1546322136089575, 210.60987685612002, 0.03895628551736756, 0.2842153545349051, 14.512404241066331, 14.936, -42.162, 55.887, 98.049, 3.374, -2.0411920757967272, 238.91587796569078, -0.0855343973181793, 1.1822356035608945, 15.456903893266944, 10.097, -70.591, 57.83, 128.421, -1.718, -0.4033049095607235, 144.1433228923878, 0.07906365779935444, 0.7094313888146656, 12.00597030199508, 8.58, -53.687, 42.458, 96.145, -0.504, -3.733587424633936, 151.55200751367474, -0.22792002610302886, 1.873532327090188, 12.310646104639462, 5.513, -66.947, 62.951, 129.898, -3.183, 7.646084409991386, 243.96231370002386, -0.18842529643857978, 0.5517679188947395, 15.619292996164194, 20.564, -51.773, 59.793, 111.566, 8.196, hit 
253947, 164.975, 4, 1, 9, -2.206, 0.436, 0.942, 0.363648, 0.000005, 0.386219, 2.156418, 0.00222, 0.36524, 0.35553, 0.37432, 0.01879, 0.36359, 54.87333, 10.128178, -6.888315, 101.506419, 3.18248, 57.015, 0.293, 58.795, 58.502, 55.5085, 63.766691, 905.128485, -0.196177, 0.464993, 30.085353, 86.869, -36.359, 171.642, 208.001, 66.5365, 11.256346, 868.533234, -0.756196, 2.494815, 29.470888, 36.231, -163.152, 96.194, 259.346, 12.798, -12.056421, 1008.597358, 5.899318, 85.712155, 31.758422, 4.646, -144.548, 455.86, 600.408, -13.1375, -7.395915, 302.176656, 0.242747, 0.445444, 17.383229, 6.133, -61.54, 59.504, 121.044, -7.7325, -32.705999, 551.633824, 1.218858, 17.990526, 23.486886, -18.931, -215.836, 212.069, 427.905, -31.946, 0.319063, 637.600811, 0.296721, 0.127721, 25.250759, 20.124, -79.446, 74.814, 154.26, -1.3245, 2.429462, 316.001278, 0.269407, 2.723625, 17.776425, 15.027, -59.211, 111.478, 170.689, 2.424, -4.900581, 170.477868, 0.262206, 0.314933, 13.056717, 5.469, -46.006, 39.49, 85.496, -5.7695, 4.700957, 187.168876, -0.062759, 1.101428, 13.680968, 16.132, -62.861, 54.75, 117.611, 4.4095, -6.995655, 163.047432, -0.309191, 4.301218, 12.769003, 2.139, -82.717, 66.598, 149.315, -7.5525, 3.037025, 214.026674, 0.344222, 0.761932, 14.629651, 13.267, -46.72, 53.189, 99.909, 3.217, hit 
209413, 156.311, 4, 1, 5, -5.077, 0.559, 0.855, 0.38424343173431735, 0.00005988778416415897, 1.018758880715811, 4.787580960613184, 0.007738719801372768, 0.38694, 0.35895, 0.42248, 0.06353000000000003, 0.38394, 50.70362297128589, 32.315474087562166, -2.9277531153150393, 16.64406008841309, 5.68467009487465, 54.715, 0.141, 59.577, 59.436, 51.637, 100.15752184769039, 1899.9220051983375, 0.41114432397441425, 3.4452770726217574, 43.58809476449203, 132.587, -50.281, 405.948, 456.229, 99.594, 15.98629213483146, 2054.9922101144075, -0.19623721214874512, 0.8542355085755897, 45.332021906312626, 50.23, -149.488, 146.563, 296.051, 18.582, -3.035687890137328, 1599.760913887609, -0.7758127853229738, 5.1547175015889675, 39.99701131194191, 24.935, -243.247, 185.119, 428.366, -1.259, 11.395230961298378, 703.8839775833604, 0.5278464213859071, 0.7807618236763775, 26.5308118530768, 32.969, -75.474, 124.485, 199.959, 9.709, -16.211634207240948, 689.8519727538368, 0.985646406363515, 1.2660482891601605, 26.265033271515893, 3.669, -73.937, 112.046, 185.983, -21.406, 6.825622971285892, 690.2168784895595, -0.23467323799827441, 0.08646400343241067, 26.271978960283132, 29.126, -98.07, 95.869, 193.939, 8.123, 6.702851435705369, 505.5292065284905, -0.17744724313871324, 4.028427847741132, 22.483976661802743, 22.301, -149.718, 94.535, 244.253, 5.587, -2.5364394506866415, 302.67622019140293, 0.10661913886061725, -0.10581141669441407, 17.397592367664064, 11.837, -54.963, 51.792, 106.755, -2.306, 3.374667915106117, 288.5089280944634, 0.2521116445655243, 0.9791465874202332, 16.985550567893387, 15.799, -51.539, 73.387, 124.926, 2.598, -11.537666666666667, 282.90325855430757, -0.6197096093697073, 1.2901979066142546, 16.81972825447271, 1.185, -104.087, 32.299, 136.386, -9.616, 6.672184769038702, 234.49588178109155, 0.21949088157814026, 0.27225433769830854, 15.313258365909313, 19.052, -41.125, 58.037, 99.162, 6.422, hit 
249293, 122.494, 4, 1, 0, -3.777, 0.534, 0.887, 0.4877317193675889, 0.000030197516608992478, -0.5321034140053676, 2.6909751856767943, 0.005495226711337074, 0.49226, 0.45635, 0.50816, 0.05180999999999997, 0.48788, 51.56024053452116, 83.28912898223228, -3.246834888409064, 11.077988552332235, 9.126287798564775, 56.166, 0.111, 58.463, 58.352000000000004, 54.4955, 88.11069710467706, 1282.6680237902158, -0.31298196939871953, 0.4586024788565462, 35.81435499614946, 116.491, -23.147, 185.301, 208.44799999999998, 89.64500000000001, 16.18075167037862, 1121.629050217843, -0.1570258941446801, -0.5797526103245214, 33.49073081044729, 46.911, -70.916, 103.303, 174.219, 17.238999999999997, -8.259531180400892, 548.2128832356647, -0.3427937160340848, 1.245245506408584, 23.413946340496825, 9.835, -116.138, 62.479, 178.61700000000002, -7.157, 18.431124721603567, 396.56032797330886, -0.040577649244196864, 0.21280230734176653, 19.913822535447807, 34.923, -42.563, 89.689, 132.252, 18.368000000000002, -29.684489977728283, 477.88061087128057, 0.3077989934175217, 1.1307233062222088, 21.860480572743146, -14.038, -91.629, 77.701, 169.32999999999998, -29.689999999999998, -1.3486859688195993, 440.75308473211953, 0.4461500437445725, -0.11165024176851396, 20.9941202419182, 16.989, -55.742, 70.734, 126.476, -3.739, 2.163154788418708, 182.31597800610743, -0.15511446340949947, 0.8873115913132137, 13.5024434087356, 12.829, -48.368, 47.292, 95.66, 2.159, -0.28800222717149215, 223.6730158218215, 0.26450260543813614, 0.02619356719843552, 14.955701782993051, 12.726, -53.543, 46.508, 100.051, -1.8205, 4.8055623608017815, 131.87413607684613, -0.10911868099558986, 0.5305757305829694, 11.483646462550391, 14.171, -43.724, 46.1, 89.824, 5.243, -8.090772828507795, 160.95401442500787, 0.05988922623806125, 1.7343069401202302, 12.686765325527539, 1.23, -54.932, 55.558, 110.49000000000001, -7.6645, 6.503906458797327, 243.00978100238575, -0.0020040622592598016, 0.8902375120784026, 15.588770990760809, 17.699, -47.999, 60.563, 108.56200000000001, 6.853, hit 
212440, 120, 4, 1, 7, -3.727, 0.668, 0.921, 0.499996, 0.000003, 2.933123, 33.170058, 0.001618, 0.50083, 0.49327, 0.51684, 0.02357, 0.50001, 52.45102, 9.232037, -6.723289, 106.175185, 3.038427, 54.588, 0, 57.706, 57.706, 52.698, 44.357525, 1255.770658, 0.330986, 0.281013, 35.436855, 73.9805, -62.066, 177.522, 239.588, 43.037, -7.842684, 901.986288, 0.462205, 1.226236, 30.033087, 17.023, -89.206, 169.273, 258.479, -10.364, -11.08804, 1142.130936, 1.942058, 20.580274, 33.795428, 13.731, -168.278, 376.811, 545.089, -14.0165, 14.986629, 533.609675, 0.215405, 0.519838, 23.099993, 32.629, -58.462, 103.174, 161.636, 14.422, -19.952521, 641.776675, 1.029901, 2.824552, 25.333312, -2.554, -86.298, 129.365, 215.663, -24.8615, -3.373271, 471.703506, 0.269706, 1.805502, 21.718736, 10.326, -80.594, 70.933, 151.527, -3.5875, -7.301565, 390.235113, 0.298687, 4.015043, 19.754369, 6.6745, -88.26, 130.796, 219.056, -7.3435, -0.042685, 173.535422, 0.058845, 0.014797, 13.173284, 10.8275, -40.444, 41.022, 81.466, -0.215, -2.342487, 209.125176, 0.232123, 0.806263, 14.461161, 8.404, -49.457, 55.504, 104.961, -2.4765, -8.735593, 199.680742, -0.898946, 5.408557, 14.130844, 1.767, -112.254, 40.051, 152.305, -8.06, -0.866227, 115.428605, 0.41952, 0.968759, 10.743771, 7.7685, -45.069, 42.244, 87.313, -1.155, hit 
255627, 130.198, 4, 0, 1, -5.119, 0.366, 0.94, 0.463254, 0.000074, 1.365875, 2.518135, 0.008616, 0.47259, 0.45008, 0.51262, 0.06254, 0.46011, 51.53215, 31.356375, -3.339203, 20.083354, 5.599676, 55.106, 3.749, 57.852, 54.103, 53.545, 58.719191, 716.303504, 1.014845, 3.024428, 26.763847, 73.587, -26.444, 219.321, 245.765, 56.037, 40.130583, 1039.510772, 0.723872, 0.777462, 32.241445, 64.653, -96.811, 166.143, 262.954, 32.552, -3.8828, 668.795665, 2.849713, 26.844086, 25.861084, 9.531, -170.359, 287.378, 457.737, -5.853, 3.809475, 593.500477, 1.07937, 1.53164, 24.361865, 21.676, -42.921, 107.662, 150.583, -1.373, -24.761283, 336.071197, 1.292057, 5.047063, 18.332245, -12.697, -68.267, 84.173, 152.44, -26.183, -9.125469, 393.468567, -0.030598, -0.060556, 19.836042, 7.44, -75.698, 47.279, 122.977, -9.486, 0.486776, 212.330593, 0.501647, 5.398205, 14.571568, 10.335, -57.992, 102.217, 160.209, 0.802, -6.862464, 191.711159, -0.786839, 2.283152, 13.84598, 3.572, -80.934, 35.219, 116.153, -5.943, 1.670047, 137.610698, 0.344415, 2.455392, 11.730759, 10.107, -49.241, 66.232, 115.473, 1.978, -7.796118, 143.612977, -2.306847, 25.403844, 11.983863, -0.118, -145.087, 50.599, 195.686, -7.862, -12.226156, 126.489516, 0.132984, 1.068446, 11.246756, -3.625, -49.433, 38.209, 87.642, -12.355, hit 
218627, 170.944, 4, 0, 11, -2.645, 0.522, 0.964, 0.350941, 0.000003, 0.759278, 3.873027, 0.001644, 0.3521, 0.34477, 0.35903, 0.01426, 0.351005, 54.367622, 10.137103, -6.819709, 101.183028, 3.183882, 56.477, 1.218, 57.738, 56.52, 55.2155, 61.442021, 1177.430281, -0.878701, 0.926172, 34.313704, 88.864, -90.492, 160.49, 250.982, 67.631, 9.491534, 974.605381, -0.824185, 1.518422, 31.21867, 31.894, -121.012, 110.491, 231.503, 15.6125, -10.10329, 869.345431, 2.581982, 43.27138, 29.484664, 5.247, -189.458, 383.526, 572.984, -9.1045, 1.381454, 270.150584, 0.090734, 0.127743, 16.436258, 14.811, -47.047, 57.415, 104.462, 1.2335, -24.990105, 933.442235, 1.41952, 4.137527, 30.552287, -6.041, -101.118, 144.356, 245.474, -29.6715, 5.924263, 415.108413, -0.367561, 0.328835, 20.37421, 23.365, -77.268, 60.579, 137.847, 8.072, 4.74827, 482.380934, 0.543331, 2.489544, 21.963172, 20.142, -65.158, 138.404, 203.562, 4.0975, -5.129546, 135.780129, -0.010416, 0.22192, 11.652473, 3.966, -41.567, 33.874, 75.441, -4.9965, 9.390974, 226.300982, 0.00482, 1.138426, 15.043304, 19.627, -47.677, 61.608, 109.285, 9.695, -10.840598, 275.450142, -1.866283, 17.20708, 16.596691, 1.122, -187.438, 47.211, 234.649, -10.198, 4.277158, 134.831421, -0.284997, 0.902803, 11.611693, 13.425, -42.1, 38.812, 80.912, 4.4465, hit 
223200, 129.205, 3, 1, 0, -6.263, 0.411, 0.62, 0.5402750127226463, 0.011955332475890429, 0.7663921504175364, -1.38315221653597, 0.1093404430020769, 0.69546, 0.44387, 0.75333, 0.30946000000000007, 0.4659, 48.33038231292517, 128.4021495885306, -2.600817789648816, 5.677773800828793, 11.331467230175031, 54.163, 0.112, 56.33, 56.217999999999996, 52.351, 36.75430612244898, 859.3288159511874, 0.3578966439768642, 1.5605326764769445, 29.314310770529595, 57.25, -48.055, 168.919, 216.97400000000002, 37.348, 16.340121088435374, 1977.913009034318, -0.7516983406755202, 1.3012195576465067, 44.47373392278096, 48.923, -142.32, 153.533, 295.85299999999995, 23.067, -7.372678911564626, 1335.314673360848, 0.8440104696554689, 6.917529907648754, 36.54195771111406, 12.237, -170.621, 202.145, 372.766, -7.836, 6.191431292517007, 556.240675208544, 0.4450927403657104, 0.8222938422923942, 23.584755144129524, 25.206, -52.678, 110.109, 162.78699999999998, 5.718, -20.973390476190477, 977.2978126624926, 3.515894968147423, 22.36696974191499, 31.26176278878868, -9.356, -98.981, 272.147, 371.128, -25.042, -2.6452054421768705, 411.28544421765696, 0.35731618129347664, 0.60332761516637, 20.2801736732617, 12.301, -70.017, 70.605, 140.622, -3.94, 9.472790476190477, 403.43508573841314, 0.15531327711106446, 2.0983608171245898, 20.08569355880979, 22.058, -69.901, 80.167, 150.06799999999998, 8.038, -12.014742857142856, 180.35092079238098, -0.3455998386062256, 0.8482674164575844, 13.429479542870638, -0.87, -59.836, 36.118, 95.95400000000001, -10.781, 0.6179428571428571, 197.8998919640817, 0.4199674502102462, 1.0573137953350247, 14.067689645570153, 11.104, -49.28, 57.121, 106.40100000000001, -0.477, -9.693761904761905, 345.29703487800407, -2.206464663136662, 11.31315647748462, 18.58216981081607, 1.337, -129.661, 70.097, 199.75799999999998, -7.937, 0.06101496598639453, 125.00672550589842, -0.3514791966050406, 0.6185498326556089, 11.180640657220785, 8.827, -38.632, 37.099, 75.731, 0.817, hit 
