@RELATION api/public/arff/rock_01012018_30062018.arff 

@ATTRIBUTE duration_ms numeric 
@ATTRIBUTE tempo numeric 
@ATTRIBUTE time_signature numeric 
@ATTRIBUTE mode numeric 
@ATTRIBUTE key numeric 
@ATTRIBUTE loudness numeric 
@ATTRIBUTE danceability numeric 
@ATTRIBUTE energy numeric 
@ATTRIBUTE beatdiff_mean numeric 
@ATTRIBUTE beatdiff_variance numeric 
@ATTRIBUTE beatdiff_skewness numeric 
@ATTRIBUTE beatdiff_kurtosis numeric 
@ATTRIBUTE beatdiff_standard_deviation numeric 
@ATTRIBUTE beatdiff_80th_percentile numeric 
@ATTRIBUTE beatdiff_min numeric 
@ATTRIBUTE beatdiff_max numeric 
@ATTRIBUTE beatdiff_range numeric 
@ATTRIBUTE beatdiff_median numeric 
@ATTRIBUTE timbre_1_mean numeric 
@ATTRIBUTE timbre_1_variance numeric 
@ATTRIBUTE timbre_1_skewness numeric 
@ATTRIBUTE timbre_1_kurtosis numeric 
@ATTRIBUTE timbre_1_standard_deviation numeric 
@ATTRIBUTE timbre_1_80th_percentile numeric 
@ATTRIBUTE timbre_1_min numeric 
@ATTRIBUTE timbre_1_max numeric 
@ATTRIBUTE timbre_1_range numeric 
@ATTRIBUTE timbre_1_median numeric 
@ATTRIBUTE timbre_2_mean numeric 
@ATTRIBUTE timbre_2_variance numeric 
@ATTRIBUTE timbre_2_skewness numeric 
@ATTRIBUTE timbre_2_kurtosis numeric 
@ATTRIBUTE timbre_2_standard_deviation numeric 
@ATTRIBUTE timbre_2_80th_percentile numeric 
@ATTRIBUTE timbre_2_min numeric 
@ATTRIBUTE timbre_2_max numeric 
@ATTRIBUTE timbre_2_range numeric 
@ATTRIBUTE timbre_2_median numeric 
@ATTRIBUTE timbre_3_mean numeric 
@ATTRIBUTE timbre_3_variance numeric 
@ATTRIBUTE timbre_3_skewness numeric 
@ATTRIBUTE timbre_3_kurtosis numeric 
@ATTRIBUTE timbre_3_standard_deviation numeric 
@ATTRIBUTE timbre_3_80th_percentile numeric 
@ATTRIBUTE timbre_3_min numeric 
@ATTRIBUTE timbre_3_max numeric 
@ATTRIBUTE timbre_3_range numeric 
@ATTRIBUTE timbre_3_median numeric 
@ATTRIBUTE timbre_4_mean numeric 
@ATTRIBUTE timbre_4_variance numeric 
@ATTRIBUTE timbre_4_skewness numeric 
@ATTRIBUTE timbre_4_kurtosis numeric 
@ATTRIBUTE timbre_4_standard_deviation numeric 
@ATTRIBUTE timbre_4_80th_percentile numeric 
@ATTRIBUTE timbre_4_min numeric 
@ATTRIBUTE timbre_4_max numeric 
@ATTRIBUTE timbre_4_range numeric 
@ATTRIBUTE timbre_4_median numeric 
@ATTRIBUTE timbre_5_mean numeric 
@ATTRIBUTE timbre_5_variance numeric 
@ATTRIBUTE timbre_5_skewness numeric 
@ATTRIBUTE timbre_5_kurtosis numeric 
@ATTRIBUTE timbre_5_standard_deviation numeric 
@ATTRIBUTE timbre_5_80th_percentile numeric 
@ATTRIBUTE timbre_5_min numeric 
@ATTRIBUTE timbre_5_max numeric 
@ATTRIBUTE timbre_5_range numeric 
@ATTRIBUTE timbre_5_median numeric 
@ATTRIBUTE timbre_6_mean numeric 
@ATTRIBUTE timbre_6_variance numeric 
@ATTRIBUTE timbre_6_skewness numeric 
@ATTRIBUTE timbre_6_kurtosis numeric 
@ATTRIBUTE timbre_6_standard_deviation numeric 
@ATTRIBUTE timbre_6_80th_percentile numeric 
@ATTRIBUTE timbre_6_min numeric 
@ATTRIBUTE timbre_6_max numeric 
@ATTRIBUTE timbre_6_range numeric 
@ATTRIBUTE timbre_6_median numeric 
@ATTRIBUTE timbre_7_mean numeric 
@ATTRIBUTE timbre_7_variance numeric 
@ATTRIBUTE timbre_7_skewness numeric 
@ATTRIBUTE timbre_7_kurtosis numeric 
@ATTRIBUTE timbre_7_standard_deviation numeric 
@ATTRIBUTE timbre_7_80th_percentile numeric 
@ATTRIBUTE timbre_7_min numeric 
@ATTRIBUTE timbre_7_max numeric 
@ATTRIBUTE timbre_7_range numeric 
@ATTRIBUTE timbre_7_median numeric 
@ATTRIBUTE timbre_8_mean numeric 
@ATTRIBUTE timbre_8_variance numeric 
@ATTRIBUTE timbre_8_skewness numeric 
@ATTRIBUTE timbre_8_kurtosis numeric 
@ATTRIBUTE timbre_8_standard_deviation numeric 
@ATTRIBUTE timbre_8_80th_percentile numeric 
@ATTRIBUTE timbre_8_min numeric 
@ATTRIBUTE timbre_8_max numeric 
@ATTRIBUTE timbre_8_range numeric 
@ATTRIBUTE timbre_8_median numeric 
@ATTRIBUTE timbre_9_mean numeric 
@ATTRIBUTE timbre_9_variance numeric 
@ATTRIBUTE timbre_9_skewness numeric 
@ATTRIBUTE timbre_9_kurtosis numeric 
@ATTRIBUTE timbre_9_standard_deviation numeric 
@ATTRIBUTE timbre_9_80th_percentile numeric 
@ATTRIBUTE timbre_9_min numeric 
@ATTRIBUTE timbre_9_max numeric 
@ATTRIBUTE timbre_9_range numeric 
@ATTRIBUTE timbre_9_median numeric 
@ATTRIBUTE timbre_10_mean numeric 
@ATTRIBUTE timbre_10_variance numeric 
@ATTRIBUTE timbre_10_skewness numeric 
@ATTRIBUTE timbre_10_kurtosis numeric 
@ATTRIBUTE timbre_10_standard_deviation numeric 
@ATTRIBUTE timbre_10_80th_percentile numeric 
@ATTRIBUTE timbre_10_min numeric 
@ATTRIBUTE timbre_10_max numeric 
@ATTRIBUTE timbre_10_range numeric 
@ATTRIBUTE timbre_10_median numeric 
@ATTRIBUTE timbre_11_mean numeric 
@ATTRIBUTE timbre_11_variance numeric 
@ATTRIBUTE timbre_11_skewness numeric 
@ATTRIBUTE timbre_11_kurtosis numeric 
@ATTRIBUTE timbre_11_standard_deviation numeric 
@ATTRIBUTE timbre_11_80th_percentile numeric 
@ATTRIBUTE timbre_11_min numeric 
@ATTRIBUTE timbre_11_max numeric 
@ATTRIBUTE timbre_11_range numeric 
@ATTRIBUTE timbre_11_median numeric 
@ATTRIBUTE timbre_12_mean numeric 
@ATTRIBUTE timbre_12_variance numeric 
@ATTRIBUTE timbre_12_skewness numeric 
@ATTRIBUTE timbre_12_kurtosis numeric 
@ATTRIBUTE timbre_12_standard_deviation numeric 
@ATTRIBUTE timbre_12_80th_percentile numeric 
@ATTRIBUTE timbre_12_min numeric 
@ATTRIBUTE timbre_12_max numeric 
@ATTRIBUTE timbre_12_range numeric 
@ATTRIBUTE timbre_12_median numeric 
@ATTRIBUTE hit {hit,non-hit} 

@DATA 
354320, 142.913, 4, 1, 3, -9.91, 0.397, 0.396, 0.4221083253588517, 0.00023112017901375894, -0.1760012412257518, -0.038871081471084735, 0.015202637238774033, 0.43421, 0.37939, 0.46201, 0.08261999999999997, 0.42386, 43.47389755213055, 78.0196970801663, -1.1317485048987572, 1.2437500910197716, 8.832875923512471, 51.098, 0.268, 58.318, 58.05, 45.831, 51.65844696282865, 3442.015680388619, -0.20712389638579234, 0.957651756979141, 58.66869421069996, 96.695, -174.469, 240.617, 415.086, 54.096, 24.883877606527655, 2002.5449126876497, 0.5462913645425694, 1.01333128619146, 44.749803493285306, 57.296, -92.579, 205.734, 298.313, 23.34, -8.680841341795105, 2085.5818099285925, 0.08502710187329492, 2.9901487671655196, 45.66817064355209, 21.206, -229.821, 258.609, 488.42999999999995, -11.559, 22.337471441523117, 1156.781051986265, 0.3187560286594604, 0.5100495898017816, 34.01148411913636, 49.648, -100.433, 139.017, 239.45, 19.449, -11.677399818676339, 879.3502917340705, 1.2788488160013232, 2.0297024625962337, 29.653841095785054, 8.604, -77.119, 139.609, 216.728, -18.919, -11.106996373526744, 1000.9719086164862, -0.5206508828330908, 0.6360423468701005, 31.638140094140905, 14.489, -122.377, 79.013, 201.39, -9.632, 2.623184043517679, 517.560645203661, 0.2229370044634971, 1.8762175649035522, 22.749959235208774, 18.836, -93.103, 100.794, 193.897, 2.334, -0.3526273798730734, 419.5567220161864, -0.19137745451089538, 0.2234892169183795, 20.483083801424687, 15.943, -82.423, 52.713, 135.136, 0.129, 2.9292611060743425, 299.50867824007383, 0.35313958987969024, 0.9334230802472573, 17.306319026300013, 16.101, -50.485, 83.62, 134.10500000000002, 2.624, -11.167868540344514, 362.39131121662615, -0.7468819969258078, 1.6545419552386615, 19.03657824338781, 4.003, -102.948, 49.864, 152.81199999999998, -9.065, 3.76087216681777, 344.52997411149227, 0.2653919375453059, 0.11550680842528525, 18.56151863699445, 18.774, -48.176, 67.855, 116.031, 2.382, hit 
249293, 122.494, 4, 1, 0, -3.777, 0.534, 0.887, 0.4877317193675889, 0.000030197516608992478, -0.5321034140053676, 2.6909751856767943, 0.005495226711337074, 0.49226, 0.45635, 0.50816, 0.05180999999999997, 0.48788, 51.56024053452116, 83.28912898223228, -3.246834888409064, 11.077988552332235, 9.126287798564775, 56.166, 0.111, 58.463, 58.352000000000004, 54.4955, 88.11069710467706, 1282.6680237902158, -0.31298196939871953, 0.4586024788565462, 35.81435499614946, 116.491, -23.147, 185.301, 208.44799999999998, 89.64500000000001, 16.18075167037862, 1121.629050217843, -0.1570258941446801, -0.5797526103245214, 33.49073081044729, 46.911, -70.916, 103.303, 174.219, 17.238999999999997, -8.259531180400892, 548.2128832356647, -0.3427937160340848, 1.245245506408584, 23.413946340496825, 9.835, -116.138, 62.479, 178.61700000000002, -7.157, 18.431124721603567, 396.56032797330886, -0.040577649244196864, 0.21280230734176653, 19.913822535447807, 34.923, -42.563, 89.689, 132.252, 18.368000000000002, -29.684489977728283, 477.88061087128057, 0.3077989934175217, 1.1307233062222088, 21.860480572743146, -14.038, -91.629, 77.701, 169.32999999999998, -29.689999999999998, -1.3486859688195993, 440.75308473211953, 0.4461500437445725, -0.11165024176851396, 20.9941202419182, 16.989, -55.742, 70.734, 126.476, -3.739, 2.163154788418708, 182.31597800610743, -0.15511446340949947, 0.8873115913132137, 13.5024434087356, 12.829, -48.368, 47.292, 95.66, 2.159, -0.28800222717149215, 223.6730158218215, 0.26450260543813614, 0.02619356719843552, 14.955701782993051, 12.726, -53.543, 46.508, 100.051, -1.8205, 4.8055623608017815, 131.87413607684613, -0.10911868099558986, 0.5305757305829694, 11.483646462550391, 14.171, -43.724, 46.1, 89.824, 5.243, -8.090772828507795, 160.95401442500787, 0.05988922623806125, 1.7343069401202302, 12.686765325527539, 1.23, -54.932, 55.558, 110.49000000000001, -7.6645, 6.503906458797327, 243.00978100238575, -0.0020040622592598016, 0.8902375120784026, 15.588770990760809, 17.699, -47.999, 60.563, 108.56200000000001, 6.853, hit 
356400, 125.148, 4, 1, 6, -7.711, 0.449, 0.901, 0.4781224114441417, 0.00004846534363997801, -0.26919546075809075, -0.36507428704324185, 0.006961705512299268, 0.48425, 0.45772, 0.50013, 0.04240999999999995, 0.479085, 49.65612489233419, 13.487573800939359, -4.102285505410187, 39.15179901895021, 3.672543233365587, 51.826, 0, 56.32, 56.32, 50.096, 70.55392592592592, 1285.7001284113946, -0.35740219237153725, 0.8937156245175364, 35.856660865331484, 97.585, -71.039, 176.02, 247.05900000000003, 71.136, 27.745549526270455, 901.278497689407, 0.18586321785418894, 1.3311558336467209, 30.02130073280315, 48.592, -110.452, 136.191, 246.643, 26.491, -7.401923341946597, 641.8020081310742, -0.33096089508345805, 6.981067271939651, 25.33381155947668, 9.169, -179.807, 150.769, 330.576, -6.957, 11.604641688199827, 456.930775589097, 0.8933493510451251, 2.1374090159987604, 21.37593917443388, 24.255, -74.47, 98.679, 173.149, 9.583, -25.09114900947459, 327.15376789080267, 0.7480265805282391, 2.2932919369332727, 18.087392512211444, -12.628, -81.326, 93.963, 175.289, -26.636, -8.029841515934539, 529.8417089705763, -0.22456910120390006, 0.541258490993829, 23.018290748241416, 10.346, -100.413, 66.166, 166.579, -7.483, 3.1546322136089575, 210.60987685612002, 0.03895628551736756, 0.2842153545349051, 14.512404241066331, 14.936, -42.162, 55.887, 98.049, 3.374, -2.0411920757967272, 238.91587796569078, -0.0855343973181793, 1.1822356035608945, 15.456903893266944, 10.097, -70.591, 57.83, 128.421, -1.718, -0.4033049095607235, 144.1433228923878, 0.07906365779935444, 0.7094313888146656, 12.00597030199508, 8.58, -53.687, 42.458, 96.145, -0.504, -3.733587424633936, 151.55200751367474, -0.22792002610302886, 1.873532327090188, 12.310646104639462, 5.513, -66.947, 62.951, 129.898, -3.183, 7.646084409991386, 243.96231370002386, -0.18842529643857978, 0.5517679188947395, 15.619292996164194, 20.564, -51.773, 59.793, 111.566, 8.196, hit 
289907, 155.667, 3, 0, 11, -5.683, 0.291, 0.79, 0.384589, 0.000099, -0.956492, 0.335903, 0.009962, 0.39201, 0.35244, 0.40419, 0.05175, 0.387425, 48.346087, 79.639946, -1.991796, 5.466201, 8.924122, 55.07, 0, 58.274, 58.274, 51.3665, 43.486396, 2136.776776, -0.189435, -0.018534, 46.225283, 82.033, -110.755, 190.174, 300.929, 47.602, -6.067432, 1196.463983, -0.124484, -0.178625, 34.58994, 22.882, -103.665, 95.978, 199.643, -4.0655, -13.601309, 1041.840618, -0.186456, 7.027383, 32.277556, 5.856, -282.27, 118.776, 401.046, -16.2345, 12.958596, 536.360719, 0.406786, 0.086863, 23.159463, 32.809, -50.724, 91.254, 141.978, 10.4725, -26.684878, 514.568932, 2.16418, 14.07208, 22.684112, -13.67, -82.637, 207.333, 289.97, -30.4325, 13.19192, 473.628928, -0.111649, 0.035591, 21.763017, 30.74, -53.969, 85.336, 139.305, 14.4815, 1.396531, 316.620681, -0.133662, 1.169705, 17.793838, 15.28, -82.401, 71.424, 153.825, 1.2515, -13.272207, 178.934619, -0.191318, 0.572303, 13.376645, -2.26, -71.314, 24.278, 95.592, -13.2165, -2.10997, 174.714194, -0.17012, 1.424493, 13.21795, 8.298, -60.252, 48.895, 109.147, -1.733, -9.213976, 154.856641, -0.329066, 1.630517, 12.444141, -0.102, -71.366, 29.609, 100.975, -8.89, -3.998905, 161.465382, 0.240321, 0.96783, 12.706903, 5.79, -42.851, 62.005, 104.856, -4.083, hit 
255493, 188.386, 4, 1, 9, -5.678, 0.31, 0.7, 0.320776, 0.000057, 0.177203, -0.758385, 0.007534, 0.32808, 0.3026, 0.34069, 0.03809, 0.320375, 49.81792, 66.55172, -3.390913, 12.869965, 8.157924, 54.178, 0, 56.677, 56.677, 52.282, 76.435221, 1086.228503, 0.777995, 1.30237, 32.957981, 102.461, -19.337, 252.463, 271.8, 71.693, 55.696474, 2169.482796, -0.408822, 1.546439, 46.577707, 89.447, -134.585, 206.116, 340.701, 57.007, 11.403922, 1904.109315, -0.370192, 15.486035, 43.636101, 29.116, -391.921, 228.593, 620.514, 7.396, 2.640444, 560.529773, 1.511279, 4.012286, 23.67551, 16.028, -43.867, 134.459, 178.326, -1.382, -18.312032, 1057.971841, 2.61578, 10.413313, 32.526479, -7.109, -73.919, 207.626, 281.545, -23.896, 2.013097, 563.849144, -0.354608, 1.538748, 23.745508, 21.67, -128.181, 75.746, 203.927, 0.511, 9.964311, 452.721102, 0.838624, 2.25028, 21.277244, 24.634, -53.751, 108.409, 162.16, 7.663, -10.663742, 199.578597, -0.21959, 0.132837, 14.127229, 1.177, -58.106, 35.245, 93.351, -9.695, 0.911142, 268.369683, 1.104185, 3.281582, 16.381993, 10.976, -44.639, 88.583, 133.222, -0.373, -7.58892, 331.895973, -1.232065, 8.225364, 18.218012, 3.136, -113.543, 82.796, 196.339, -6.59, -8.203118, 181.967975, 0.084803, 1.121025, 13.489551, 1.662, -57.54, 51.6, 109.14, -8.592, hit 
292880, 133.519, 4, 1, 4, -5.175, 0.501, 0.889, 0.448212, 0.000029, 0.026696, 4.619735, 0.005344, 0.45173, 0.41466, 0.47557, 0.06091, 0.44871, 50.493036, 24.450226, -2.183669, 13.683869, 4.944717, 54.3735, 0, 57.926, 57.926, 51.778, 91.500467, 877.825074, 0.872641, 2.919524, 29.628113, 113.1645, 2.64, 305.377, 302.737, 87.6465, 24.126443, 1424.620212, 0.534624, 0.030728, 37.744141, 52.905, -50.827, 162.431, 213.258, 20.571, -1.337013, 730.550871, -0.244974, 7.206776, 27.028705, 19.019, -227.301, 192.488, 419.789, -1.0865, -11.313446, 593.58186, 0.586983, 0.437381, 24.363535, 7.481, -74.234, 81.174, 155.408, -13.8245, -29.248984, 465.425617, 0.272258, 2.811049, 21.573725, -13.7925, -106.114, 123.106, 229.22, -28.4585, -5.97365, 506.856408, -0.082156, 0.392528, 22.513472, 11.989, -107.181, 59.438, 166.619, -5.8765, -2.211926, 240.741302, 0.268588, 3.496441, 15.51584, 9.1035, -96.491, 102.216, 198.707, -3.035, -12.915316, 162.071612, -0.32274, 1.056699, 12.730735, -3.046, -68.293, 38.761, 107.054, -12.208, 2.076852, 155.503762, -0.093835, 0.330833, 12.470115, 12.569, -46.686, 49.392, 96.078, 2.0975, -7.94448, 146.778446, -0.775126, 6.06572, 12.115215, 1.43, -112.758, 28.616, 141.374, -7.7565, -6.234769, 132.854636, -0.212591, 0.439624, 11.526259, 3.879, -52.92, 37.973, 90.893, -5.855, hit 
185587, 110.018, 4, 1, 9, -4.153, 0.496, 0.863, 0.545412, 0.00002, -0.188443, 5.491027, 0.004415, 0.54802, 0.52414, 0.56431, 0.04017, 0.54541, 52.70733, 56.285406, -3.944116, 19.284643, 7.50236, 56.617, 0, 58.193, 58.193, 55.282, 53.388005, 2067.569439, 1.642681, 6.049827, 45.470534, 77.929, -80.155, 263.261, 343.416, 50.894, 41.456693, 1470.76145, 1.060611, 1.889198, 38.350508, 61.684, -49.846, 196.267, 246.113, 35.951, -5.402044, 807.053867, 3.229962, 37.756634, 28.408694, 11.77, -94.279, 346.27, 440.549, -6.843, 18.044876, 978.123512, -0.424738, 2.22972, 31.274966, 40.356, -96.202, 112.936, 209.138, 18.17, -28.337109, 237.816378, 0.448912, 1.931401, 15.421296, -17.979, -85.241, 47.328, 132.569, -28.686, 9.978473, 475.215893, -0.449107, 0.067355, 21.799447, 28.99, -66.19, 68.755, 134.945, 11.625, 0.222227, 359.468949, -0.583352, 1.087096, 18.959666, 14.189, -67.421, 63.662, 131.083, 3.315, -5.816228, 401.911046, -1.234605, 4.539388, 20.047719, 9.396, -99.051, 54.162, 153.213, -4.392, 2.50415, 203.378645, 0.20837, 1.918758, 14.261088, 12.722, -50.736, 79.869, 130.605, 2.848, -9.402209, 116.265922, -0.891254, 5.333505, 10.782668, -0.64, -90.998, 26.688, 117.686, -8.982, -9.206922, 203.291559, -0.353439, 0.367937, 14.258035, 2.482, -63.694, 36.3, 99.994, -7.699, hit 
208400, 115.715, 4, 0, 6, -4.793, 0.573, 0.913, 0.516236, 0.000073, -1.453013, 9.391172, 0.008525, 0.52178, 0.46265, 0.54182, 0.07917, 0.51638, 51.679231, 28.03959, -3.324046, 21.522231, 5.295242, 55.514, 0, 58.427, 58.427, 52.848, 85.755752, 1375.19407, -0.149052, 2.522209, 37.083609, 110.86, -61.921, 249.508, 311.429, 83.621, 59.105153, 2875.187334, -0.69312, 1.051886, 53.620773, 100.129, -134.885, 201.37, 336.255, 63.52, 11.732018, 2398.245716, 0.820976, 12.772673, 48.971887, 34.243, -280.417, 339.537, 619.954, 9.719, 19.816629, 663.331554, 0.927864, 1.385492, 25.755224, 38.644, -47.978, 132.672, 180.65, 16.069, -18.908186, 1036.865105, 2.278796, 9.387096, 32.20039, -3.982, -99.122, 196.608, 295.73, -25.969, 1.425125, 580.992129, -0.556297, 0.862382, 24.103778, 20.142, -82.478, 87.945, 170.423, 5.185, 10.280215, 582.128616, 0.905425, 2.208273, 24.127342, 22.164, -80.94, 106.68, 187.62, 7.685, -8.566571, 276.153511, 0.23425, 0.46501, 16.617867, 5.775, -60.182, 57.48, 117.662, -9.815, -0.473785, 269.798735, 0.197105, 1.220976, 16.425551, 11.276, -57.16, 61.994, 119.154, -0.629, -5.304902, 356.704617, -1.155665, 8.153982, 18.886625, 6.618, -127.645, 82.789, 210.434, -4.194, -5.657975, 187.129556, -0.040975, 0.155832, 13.679531, 5.123, -47.423, 36.608, 84.031, -5.346, hit 
252040, 144.073, 4, 1, 0, -3.004, 0.616, 0.91, 0.4166610998307953, 0.000009039478147394213, -1.4031802326412048, 19.90169233025632, 0.003006572491624676, 0.4187, 0.39132, 0.43736, 0.046040000000000025, 0.41679, 53.88636004784689, 11.471032086872729, -6.149975550332913, 82.13985665676903, 3.386891212730744, 56.144, 0.029, 58.346, 58.31699999999999, 54.4975, 63.39392822966507, 1185.426745628822, 0.30112489397923276, 1.2990408624786616, 34.4300268026155, 89.516, -54.459, 219.637, 274.096, 62.2515, 26.74175717703349, 956.5666915259654, 0.05657606474694172, 0.6393873076242308, 30.928412366721403, 52.509, -91.378, 152.218, 243.596, 25.893, -2.1723803827751196, 1251.278146683059, 0.5710179612627281, 9.871713649069159, 35.373410164741806, 22.389, -157.404, 329.717, 487.121, -0.4235, 7.151613636363636, 587.4058022729719, 0.08441255190929473, 0.5188256967527107, 24.236456058445754, 25.916, -82.004, 90.502, 172.506, 7.548, -17.90669976076555, 635.8761857914358, 0.5842593767964995, 1.4707483114144595, 25.21658552999267, -0.758, -104.431, 83.377, 187.808, -21.544, 6.005035885167464, 558.3156283360322, -0.12949525114990268, 0.03957776880398724, 23.628703484026207, 26.386, -71.06, 68.287, 139.347, 5.9655000000000005, 5.684973684210526, 476.32738061174797, -0.26299298498785173, 1.3754496884712621, 21.82492567253662, 21.66, -88.903, 101.33, 190.233, 5.913, -19.898593301435405, 244.58742741354382, 0.4517643636305788, 0.9076079382939851, 15.639291141658045, -8.083, -68.076, 45.139, 113.215, -21.006, -0.6435466507177033, 271.6250305612208, 0.31518092344305537, 0.5674420328928932, 16.48105065101193, 12.637, -49.648, 61.722, 111.37, -1.533, -7.77267942583732, 300.23770288766235, -0.29577517551220045, 2.1039144085312174, 17.327368608293135, 5.243, -111.47, 60.199, 171.66899999999998, -7.486, 4.476248803827751, 214.44355445962753, -0.5036145512008358, 0.8095382325634186, 14.64389137011155, 15.958, -61.743, 43.981, 105.724, 6.4805, hit 
214653, 109.979, 4, 0, 5, -6.594, 0.951, 0.53, 0.545410796915167, 0.000009797362604000775, -4.489667166516931, 31.444604890163703, 0.00313007389753034, 0.54708, 0.518, 0.55162, 0.03361999999999998, 0.54568, 43.82299760479042, 85.6931330179584, -0.9842559128526677, 0.3569224642196208, 9.25705855107109, 51.856, 6.072, 57.601, 51.528999999999996, 45.935, 45.823538922155684, 6212.869827872434, -0.4426453177840089, 0.4116158819947863, 78.82175986282236, 111.734, -293.557, 267.271, 560.828, 51.628, -5.091468263473054, 5175.037979863366, -0.055434595916581966, 0.04304282907238759, 71.93773682750498, 53.478, -183.294, 214.668, 397.962, -1.809, 28.311494610778443, 6480.397916527806, -0.5183603803460444, 2.126741855708417, 80.50091873095491, 80.6, -307.975, 268.006, 575.981, 27.981, 12.024917365269461, 1028.0204948662265, 0.7001982359493518, 0.751572491472749, 32.06275869082738, 34.179, -61.49, 152.921, 214.411, 8.032, 0.7695161676646707, 3175.825009174295, 1.1954203334726379, 2.1366240693508707, 56.3544586450291, 39.008, -122.781, 243.71, 366.491, -9.929, -2.383405988023952, 866.0986634219993, 0.13680148711970924, -0.6359657682825509, 29.429554251160503, 24.351, -76.515, 77.219, 153.73399999999998, -4.272, 4.723615568862275, 1125.824028876163, -0.19839075571836268, 0.9951408615018029, 33.5533013111402, 30.575, -153.213, 111.479, 264.692, 4.742, -3.5888958083832336, 306.00013031609, 0.10348467971628943, 0.3535541107720218, 17.492859409373015, 9.983, -64.709, 54.909, 119.618, -3.267, 2.798574850299401, 648.5445030659549, -0.0722249027704515, 0.7850250921516586, 25.46653692722972, 22.999, -114.155, 84.461, 198.61599999999999, 2.523, -20.14186706586826, 1181.24778711167, -0.7362514400663408, 1.1587225000218415, 34.36928551936554, 7.286, -155.219, 94.627, 249.846, -14.469, 9.610419161676646, 267.6274128231061, -0.3477681895818375, 0.3736550790433097, 16.359321893743214, 23.359, -53.497, 59.065, 112.562, 10.561, hit 
