@relation occ-dance-012013-062018-weka-code

@attribute duration_ms numeric
@attribute tempo numeric
@attribute 'time signature' numeric
@attribute mode numeric
@attribute key numeric
@attribute loudness numeric
@attribute danceability numeric
@attribute energy numeric
@attribute 'Beatdiff mean' numeric
@attribute 'Beatdiff variance' numeric
@attribute 'Beatdiff skewness' numeric
@attribute 'Beatdiff kurtosis' numeric
@attribute 'Beatdiff standard deviation' numeric
@attribute 'Beatdiff 80th percentile' numeric
@attribute 'Beatdiff min' numeric
@attribute 'Beatdiff max' numeric
@attribute 'Beatdiff range' numeric
@attribute 'Beatdiff median' numeric
@attribute 'Timbre 1 mean' numeric
@attribute 'Timbre 1 variance' numeric
@attribute 'Timbre 1 skewness' numeric
@attribute 'Timbre 1 kurtosis' numeric
@attribute 'Timbre 1 standard deviation' numeric
@attribute 'Timbre 1 80th percentile' numeric
@attribute 'Timbre 1 min' numeric
@attribute 'Timbre 1 max' numeric
@attribute 'Timbre 1 range' numeric
@attribute 'Timbre 1 median' numeric
@attribute 'Timbre 2 mean' numeric
@attribute 'Timbre 2 variance' numeric
@attribute 'Timbre 2 skewness' numeric
@attribute 'Timbre 2 kurtosis' numeric
@attribute 'Timbre 2 standard deviation' numeric
@attribute 'Timbre 2 80th percentile' numeric
@attribute 'Timbre 2 min' numeric
@attribute 'Timbre 2 max' numeric
@attribute 'Timbre 2 range' numeric
@attribute 'Timbre 2 median' numeric
@attribute 'Timbre 3 mean' numeric
@attribute 'Timbre 3 variance' numeric
@attribute 'Timbre 3 skewness' numeric
@attribute 'Timbre 3 kurtosis' numeric
@attribute 'Timbre 3 standard deviation' numeric
@attribute 'Timbre 3 80th percentile' numeric
@attribute 'Timbre 3 min' numeric
@attribute 'Timbre 3 max' numeric
@attribute 'Timbre 3 range' numeric
@attribute 'Timbre 3 median' numeric
@attribute 'Timbre 4 mean' numeric
@attribute 'Timbre 4 variance' numeric
@attribute 'Timbre 4 skewness' numeric
@attribute 'Timbre 4 kurtosis' numeric
@attribute 'Timbre 4 standard deviation' numeric
@attribute 'Timbre 4 80th percentile' numeric
@attribute 'Timbre 4 min' numeric
@attribute 'Timbre 4 max' numeric
@attribute 'Timbre 4 range' numeric
@attribute 'Timbre 4 median' numeric
@attribute 'Timbre 5 mean' numeric
@attribute 'Timbre 5 variance' numeric
@attribute 'Timbre 5 skewness' numeric
@attribute 'Timbre 5 kurtosis' numeric
@attribute 'Timbre 5 standard deviation' numeric
@attribute 'Timbre 5 80th percentile' numeric
@attribute 'Timbre 5 min' numeric
@attribute 'Timbre 5 max' numeric
@attribute 'Timbre 5 range' numeric
@attribute 'Timbre 5 median' numeric
@attribute 'Timbre 6 mean' numeric
@attribute 'Timbre 6 variance' numeric
@attribute 'Timbre 6 skewness' numeric
@attribute 'Timbre 6 kurtosis' numeric
@attribute 'Timbre 6 standard deviation' numeric
@attribute 'Timbre 6 80th percentile' numeric
@attribute 'Timbre 6 min' numeric
@attribute 'Timbre 6 max' numeric
@attribute 'Timbre 6 range' numeric
@attribute 'Timbre 6 median' numeric
@attribute 'Timbre 7 mean' numeric
@attribute 'Timbre 7 variance' numeric
@attribute 'Timbre 7 skewness' numeric
@attribute 'Timbre 7 kurtosis' numeric
@attribute 'Timbre 7 standard deviation' numeric
@attribute 'Timbre 7 80th percentile' numeric
@attribute 'Timbre 7 min' numeric
@attribute 'Timbre 7 max' numeric
@attribute 'Timbre 7 range' numeric
@attribute 'Timbre 7 median' numeric
@attribute 'Timbre 8 mean' numeric
@attribute 'Timbre 8 variance' numeric
@attribute 'Timbre 8 skewness' numeric
@attribute 'Timbre 8 kurtosis' numeric
@attribute 'Timbre 8 standard deviation' numeric
@attribute 'Timbre 8 80th percentile' numeric
@attribute 'Timbre 8 min' numeric
@attribute 'Timbre 8 max' numeric
@attribute 'Timbre 8 range' numeric
@attribute 'Timbre 8 median' numeric
@attribute 'Timbre 9 mean' numeric
@attribute 'Timbre 9 variance' numeric
@attribute 'Timbre 9 skewness' numeric
@attribute 'Timbre 9 kurtosis' numeric
@attribute 'Timbre 9 standard deviation' numeric
@attribute 'Timbre 9 80th percentile' numeric
@attribute 'Timbre 9 min' numeric
@attribute 'Timbre 9 max' numeric
@attribute 'Timbre 9 range' numeric
@attribute 'Timbre 9 median' numeric
@attribute 'Timbre 10 mean' numeric
@attribute 'Timbre 10 variance' numeric
@attribute 'Timbre 10 skewness' numeric
@attribute 'Timbre 10 kurtosis' numeric
@attribute 'Timbre 10 standard deviation' numeric
@attribute 'Timbre 10 80th percentile' numeric
@attribute 'Timbre 10 min' numeric
@attribute 'Timbre 10 max' numeric
@attribute 'Timbre 10 range' numeric
@attribute 'Timbre 10 median' numeric
@attribute 'Timbre 11 mean' numeric
@attribute 'Timbre 11 variance' numeric
@attribute 'Timbre 11 skewness' numeric
@attribute 'Timbre 11 kurtosis' numeric
@attribute 'Timbre 11 standard deviation' numeric
@attribute 'Timbre 11 80th percentile' numeric
@attribute 'Timbre 11 min' numeric
@attribute 'Timbre 11 max' numeric
@attribute 'Timbre 11 range' numeric
@attribute 'Timbre 11 median' numeric
@attribute 'Timbre 12 mean' numeric
@attribute 'Timbre 12 variance' numeric
@attribute 'Timbre 12 skewness' numeric
@attribute 'Timbre 12 kurtosis' numeric
@attribute 'Timbre 12 standard deviation' numeric
@attribute 'Timbre 12 80th percentile' numeric
@attribute 'Timbre 12 min' numeric
@attribute 'Timbre 12 max' numeric
@attribute 'Timbre 12 range' numeric
@attribute 'Timbre 12 median' numeric
@attribute hit {hit,non-hit}

@data
212862,129.042,4,0,11,-3.145,0.612,0.84,0.464244,0.000039,-3.167244,18.402916,0.006238,0.46677,0.42052,0.48312,0.0626,0.465,53.288978,16.109435,-1.588317,7.258991,4.013656,56.863,21.885,59.951,38.066,54.0065,54.037049,2201.218493,-0.294379,-0.16519,46.917145,93.098,-74.48,182.554,257.034,60.7355,40.522253,1381.189716,0.808644,1.31519,37.164361,66.99,-79.181,182.833,262.014,35.6325,3.49461,1371.837074,-0.828511,14.813571,37.038319,29.105,-304.275,233.504,537.779,4.3775,28.661004,881.655003,0.36323,0.187142,29.692676,53.37,-65.245,119.004,184.249,25.151,-24.268809,606.690605,2.339686,19.973747,24.63109,-9.716,-93.76,242.918,336.678,-27.401,-6.756307,715.266189,-0.179242,-0.162779,26.744461,16.958,-91.815,69.36,161.175,-6.1475,-0.734198,457.980812,0.045513,2.671439,21.400486,14.775,-88.182,111.737,199.919,-0.116,-1.902176,284.46466,-0.097146,-0.222654,16.86608,12.619,-64.63,43.57,108.2,-2.114,3.155564,188.534879,-0.024222,3.062168,13.7308,13.558,-58.99,88.227,147.217,3.3125,-9.929207,223.295952,-0.287686,3.841063,14.94309,1.83,-94.916,80.497,175.413,-9.0735,-7.203535,210.893169,-0.025866,0.219125,14.522161,4.961,-53.843,38.727,92.57,-7.246,hit
212560,127.934,4,0,8,-3.942,0.573,0.929,0.468995,0.000036,0.638972,9.333011,0.00599,0.47051,0.43773,0.50726,0.06953,0.46876,52.175252,28.615276,-3.733188,26.607551,5.349325,55.896,0.005,60.312,60.307,53.096,48.354197,2313.149633,-0.479116,-0.3369,48.095214,89.2465,-98.67,180.876,279.546,58.494,22.242961,1253.320967,-0.218999,0.630197,35.402273,50.459,-98.387,136.497,234.884,23.594,-9.698153,931.848139,2.119314,33.333572,30.526188,10.716,-143.45,388.864,532.314,-10.406,15.866856,624.976285,0.24267,0.193139,24.999526,35.881,-50.743,102.414,153.157,14.7105,-31.482632,553.753006,-0.970532,2.660419,23.531957,-13.6255,-129.015,40.95,169.965,-29.452,-10.848556,450.052911,0.022498,0.549095,21.214451,7.616,-113.632,65.001,178.633,-12.0855,-0.327595,274.783415,0.349316,2.379394,16.576592,11.0255,-68.264,98.044,166.308,-0.594,-14.358705,237.381484,-0.052281,0.821029,15.407189,-2.4015,-75.675,39.328,115.003,-14.2765,-0.890702,153.350022,-0.342895,1.339136,12.383458,8.9565,-64.172,46.937,111.109,-0.067,-6.492876,218.583658,-0.753932,2.604172,14.784575,4.8965,-108.271,48.946,157.217,-4.1185,7.479168,187.505697,-0.140277,0.025743,13.693272,18.2535,-34.78,46.696,81.476,8.1525,hit
182578,177.062,4,1,0,-3.463,0.62,0.934,0.338971,0.000004,-0.216924,12.072782,0.002086,0.34023,0.32505,0.3523,0.02725,0.33893,52.908249,21.323813,-4.17308,29.673798,4.617771,55.67,0.029,57.762,57.733,54.034,87.311656,1171.385245,0.062669,0.391289,34.225506,114.979,-36.516,211.716,248.232,88.975,10.780959,2256.204111,0.926839,1.635213,47.499517,45.905,-112.608,197.609,310.217,3.151,12.391288,1333.834112,1.533763,13.579776,36.521694,37.16,-163.364,370.769,534.133,11.982,26.156347,664.788385,0.511107,0.330406,25.783491,47.011,-37.622,116.763,154.385,22.829,-24.434888,817.489589,1.441456,5.102672,28.591775,-6.567,-96.292,166.93,263.222,-28.316,12.259252,755.374134,0.028023,-0.461224,27.484071,36.956,-62.774,83.534,146.308,11.416,5.36766,402.494372,-0.27942,3.858743,20.062262,19.886,-109.303,86.225,195.528,5.064,-11.253511,255.333813,-0.336693,0.964481,15.979168,0.489,-75.084,48.807,123.891,-10.147,5.325705,296.48748,-0.032905,0.550102,17.218812,20.06,-65.9,61.28,127.18,4.814,-12.949065,406.57787,0.407326,6.158795,20.163776,1.912,-133.283,142.867,276.15,-13.368,1.071218,181.998153,0.029004,0.176694,13.490669,12.316,-40.394,43.725,84.119,0.928,hit
232615,129.978,4,0,6,-3.376,0.755,0.931,0.461291,0.000008,-2.206455,13.52823,0.002815,0.46315,0.43974,0.47113,0.03139,0.46143,53.384297,11.71581,-5.660739,69.019469,3.422837,55.878,4.24,58.362,54.122,53.754,29.629175,1446.300445,-0.051393,0.65174,38.030257,61.155,-113.116,186.89,300.006,30.6895,8.034598,2103.57169,-0.212181,-0.301403,45.864711,48.753,-162.201,127.515,289.716,10.3395,3.662235,1463.114605,1.020703,10.974579,38.250681,27.132,-160.116,367.675,527.791,4.516,11.073057,457.292585,0.329947,1.451369,21.3844,27.291,-68.74,125.945,194.685,10.739,-16.657873,811.147411,-0.058954,3.776336,28.48065,4.591,-230.095,107.562,337.657,-17.3095,-0.815531,528.255738,-0.127559,0.104604,22.983815,19.52,-89.699,69.913,159.612,-0.6285,4.801218,617.077355,0.268871,1.714229,24.841042,23.781,-111.175,112.62,223.795,3.9,-2.087626,297.554204,-0.320764,0.533639,17.24976,11.367,-81.692,53.835,135.527,-0.404,4.191525,322.554865,0.183654,1.168188,17.959812,17.504,-85.27,79.591,164.861,4.041,-11.413612,336.53853,-0.602506,0.868171,18.344987,2.892,-86.08,44.031,130.111,-9.143,-1.618535,202.946665,-0.01172,0.085394,14.245935,10.372,-48.75,37.684,86.434,-1.978,hit
147692,130.022,4,1,8,-4.344,0.751,0.813,0.461638,0.000005,0.879718,4.861117,0.002272,0.46317,0.4557,0.47411,0.01841,0.46161,52.343121,32.704831,-4.605996,31.079325,5.718814,55.538,0.89,58.514,57.624,54.046,112.888344,5089.423351,-0.552471,5.094608,71.340195,146.957,-227.243,317.562,544.805,110.744,49.271286,4386.12493,1.23137,2.100771,66.227826,90.33,-121.238,295.556,416.794,35.037,20.917301,2194.332814,1.201341,3.452017,46.843706,37.77,-112.829,267.803,380.632,14.286,16.982221,2067.793469,0.414492,-0.62048,45.472997,60.452,-73.292,139.162,212.454,9.324,-21.569501,826.55512,1.328989,3.2893,28.749872,-6.717,-85.994,111.01,197.004,-24.708,1.052906,1422.753409,-0.597532,0.268959,37.719404,32.151,-131.72,88.677,220.397,7.179,15.706255,484.160186,0.418637,0.799518,22.00364,33.415,-56.167,95.292,151.459,14.083,-13.059769,166.836544,0.126329,0.479743,12.916522,-2.889,-56.643,36.281,92.924,-13.183,6.111645,233.462184,0.360962,0.994387,15.279469,17.196,-41.4,59.634,101.034,4.842,-12.678127,358.271099,-0.802858,2.639404,18.928051,1.508,-99.687,44.419,144.106,-11.467,7.43898,586.962764,0.21454,-0.664608,24.227314,30.143,-49.801,60.124,109.925,6.427,hit
183213,140.022,4,0,1,-2.978,0.867,0.9,0.42861,0.000006,0.844444,6.453266,0.002442,0.430005,0.41848,0.44413,0.02565,0.428665,53.398154,10.806484,-5.209463,72.550192,3.287322,55.693,0,59.11,59.11,53.969,57.15453,1996.184753,0.295057,0.245984,44.678683,97.554,-68.581,273.63,342.211,54.239,21.422025,1642.014619,-0.559617,0.528642,40.52178,55.087,-150.504,122.979,273.483,25.885,29.261626,1994.528391,0.51252,5.225215,44.660143,64.546,-112.446,407.085,519.531,31.232,31.557292,739.646063,-0.104361,-0.310851,27.196435,55.874,-56.916,109.488,166.404,32.205,-6.970083,1109.798707,0.731724,1.076832,33.313641,19.525,-107.989,141.26,249.249,-12.916,-13.798496,493.282951,-0.136287,0.155866,22.209974,4.134,-81.969,53.63,135.599,-12.852,-0.259108,606.81972,0.093417,0.299529,24.633711,20.053,-81.293,103.269,184.562,0.279,-16.535165,324.217655,0.38028,0.654184,18.006045,-2.579,-76.907,58.411,135.318,-17.892,6.561521,332.862411,0.098327,0.71977,18.244517,21.166,-58.279,91.014,149.293,6.88,-19.60305,515.035029,-0.033956,-0.237185,22.694383,0.765,-80.311,57.424,137.735,-18.992,-0.297238,188.879808,-0.341464,0.105265,13.743355,11.15,-56.79,34.881,91.671,0.508,non-hit
234693,127.992,4,0,7,-5.18,0.616,0.862,0.46922,0.000023,0.796522,3.542882,0.004837,0.47196,0.45253,0.4894,0.03687,0.46898,50.17653,33.13018,-2.522742,14.933729,5.755882,54.886,0,57.948,57.948,51.331,64.242738,1721.581771,-0.511608,0.532417,41.491948,99.801,-118.556,171.13,289.686,68.589,7.118983,1512.878088,-0.081556,-0.013389,38.895734,40.42,-117.541,116.998,234.539,7.424,-8.227481,1237.537419,-0.154785,0.814873,35.17865,18.679,-141.354,100.689,242.043,-7.657,13.83802,676.933579,0.473716,0.638852,26.017947,33.377,-57.093,110.108,167.201,11.2,-26.942719,638.927868,0.301162,1.529753,25.277023,-7.971,-129.678,81.62,211.298,-28.163,11.555351,505.709185,-0.385448,-0.094636,22.487979,31.106,-62.478,72.151,134.629,14.019,3.028309,327.458659,-0.100255,0.96831,18.095819,16.734,-72.018,74.327,146.345,3.575,-9.907252,267.492987,0.047388,0.298656,16.355213,3.921,-75.255,43.933,119.188,-11.034,3.583417,258.407206,-0.158082,1.034388,16.075049,15.387,-64.21,63.991,128.201,4.083,-11.778703,304.197581,-0.31732,2.074577,17.441261,0.674,-99.709,61.129,160.838,-10.925,-5.841478,223.39582,-0.407115,0.593172,14.946432,6.837,-61.436,35.217,96.653,-5.02,non-hit
229436,133.932,4,0,6,-3.739,0.73,0.878,0.448651,0.000025,4.602496,23.631915,0.005019,0.4494,0.44283,0.48199,0.03916,0.447815,51.873112,39.138667,-1.941059,3.909932,6.25609,56.181,20.837,59.187,38.35,54.116,85.591931,3921.731954,-2.585225,9.630949,62.623733,124.075,-245.114,258.71,503.824,93.788,14.033534,2717.461534,0.196828,-0.092347,52.129277,59.342,-114.556,173.298,287.854,7.624,14.139381,2422.611242,0.844203,2.441876,49.220029,41.388,-132.3,197.049,329.349,13.489,44.81343,689.310027,0.571006,0.502976,26.254714,65.751,-28.194,135.513,163.707,41.603,-32.952165,843.167451,-0.231008,2.698279,29.037346,-13.053,-142.202,100.825,243.027,-32.872,-5.896367,558.474827,-0.298128,0.336343,23.632072,14.323,-115.263,60.372,175.635,-3.848,6.629373,506.992125,1.338443,3.822698,22.516486,21.578,-50.671,114.92,165.591,3.417,-21.548699,202.598171,0.627628,1.623715,14.233698,-10.805,-60.461,59.759,120.22,-21.96,0.374636,207.553265,0.192571,0.835098,14.406709,11.093,-43.836,58.216,102.052,0.5,-11.087067,281.332476,-0.746939,0.585196,16.772969,2.074,-78.551,36.11,114.661,-8.29,4.097961,172.11213,0.240807,0.522888,13.119151,15.211,-38.475,53.5,91.975,2.737,non-hit
206461,125.03,4,0,7,-5.89,0.736,0.929,0.47913,0.000019,-2.264231,7.679878,0.004408,0.48136,0.45725,0.49259,0.03534,0.47983,50.428291,21.849463,-2.664735,13.652676,4.674341,53.973,9.203,55.94,46.737,51.4875,61.384352,1592.696694,-0.490291,0.411485,39.908604,94.043,-78.223,183.736,261.959,66.563,2.449222,2272.071198,1.591189,3.725477,47.666248,33.102,-120.703,214.362,335.065,-9.1175,-5.215205,849.022494,0.21592,2.46543,29.137991,17.144,-129.878,137.522,267.4,-6.8985,17.391992,690.880934,0.080562,0.250422,26.284614,37.721,-65.905,103.075,168.98,16.3385,-32.990942,748.010838,0.667588,4.296657,27.349787,-12.732,-119.824,169.01,288.834,-35.297,3.95286,536.874713,-0.597491,1.584039,23.170557,21.38,-102.492,64.085,166.577,7.304,7.152035,555.876268,-0.05524,6.240565,23.577028,20.727,-133.912,137.921,271.833,8.564,-12.978445,144.181956,-0.30806,1.405288,12.007579,-3.817,-59.904,38.114,98.018,-12.074,4.299399,211.733021,0.141866,3.988929,14.551049,13.556,-66.13,94.542,160.672,4.5425,-12.672512,222.707505,0.116376,2.341245,14.923388,-1.027,-71.24,80.176,151.416,-12.9075,0.329403,131.358693,-0.155269,0.710509,11.461182,8.933,-40.018,45.141,85.159,0.9105,non-hit
213338,126.879,4,1,0,-7.598,0.507,0.665,0.473232,0.000043,0.424374,3.183546,0.006569,0.47609,0.4486,0.50111,0.05251,0.47299,49.270541,20.500034,-1.74036,5.092234,4.527696,52.882,21.487,55.312,33.825,50.113,42.491643,1393.598401,0.164071,0.348763,37.330931,72.501,-70.007,157.888,227.895,42.183,19.991483,1909.997127,-0.128609,0.074661,43.703514,56.009,-99.673,161.746,261.419,21.439,-6.403157,1197.49338,1.262879,12.540748,34.604817,11.443,-227.68,296.904,524.584,-9.735,30.789279,1074.30876,0.296016,0.033988,32.77665,56.843,-59.565,133.71,193.275,29.733,-31.729941,709.457679,1.776408,12.951563,26.635647,-19.056,-108.287,204.828,313.115,-31.715,1.058896,423.156966,-0.017539,0.75038,20.570779,17.852,-63.048,84.137,147.185,1.255,0.028941,380.624433,-0.124444,3.620334,19.509598,11.838,-89.114,98.081,187.195,0.892,-15.917086,304.653157,-0.202842,-0.356671,17.454316,0.85,-80.43,28.74,109.17,-15.342,1.981848,227.369285,-0.489121,1.850629,15.078769,13.682,-61.961,66.313,128.274,2.497,-10.01002,231.692966,-1.229664,9.241462,15.221464,0.161,-124.79,51.066,175.856,-9.646,-10.197487,214.507741,-0.277403,0.251682,14.646083,2.533,-62.665,32.708,95.373,-10.166,non-hit
